Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT04333550	Application of Desferal to Treat COVID-19		Recruiting	No Results Available	COVID-19	Drug: Deferoxamine	Mortality rate|change in patients clinical manifestation|change in patients PaO2|Length of hospitalization|C-reactive protein|lymphocyte count|length of intensive care unit stay	Kermanshah University of Medical Sciences	All	3 Years to 99 Years   (Child, Adult, Older Adult)	Phase 1|Phase 2	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	1398.1224	April 2020	September 2020	March 2021	April 3, 2020		April 6, 2020	Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of		https://ClinicalTrials.gov/show/NCT04333550
2	NCT04336904	Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19		Active, not recruiting	No Results Available	COVID-19	Drug: Favipiravir|Other: Placebo	Time from randomization to clinical recovery|Time from randomization to negativity in RT-PCR nucleic acid test|Incidence of deterioration/aggravation of pneumonia|Time from randomization to resolution of pyrexia|Time from randomization to relief of cough|Time from randomization to relief of dyspnoea|Rate of auxiliary oxygen therapy|ICU admission rate|Mortality	Giuliano Rizzardini|ASST Fatebenefratelli Sacco	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 3	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment	HS216C17-PHASE III	March 25, 2020	July 2020	July 2020	April 7, 2020		April 8, 2020	Asst Fatebenefratelli Sacco, Milano, Italy		https://ClinicalTrials.gov/show/NCT04336904
3	NCT04351802	CORonavirus (COVID-19) Diagnostic Lung UltraSound Study	COR-DLUS	Not yet recruiting	No Results Available	COVID-19	Diagnostic Test: Lung ultrasound	Diagnosis of COVID-19 on lung ultrasound|Difference in diagnosis of COVID-19 on lung ultrasound vs. chest x-ray|Diagnosis of alternative condition to COVID-19 on lung ultrasound vs. chest x-ray|Ability of surveillance lung ultrasound to predict clinical trajectory / outcome in patients with COVID-19|Consistency of lung ultrasound interpretation in patients presenting with suspected COVID-19	University Hospital Plymouth NHS Trust	All	18 Years and older   (Adult, Older Adult)		180	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	282661	April 20, 2020	January 20, 2021	January 20, 2021	April 17, 2020		April 17, 2020			https://ClinicalTrials.gov/show/NCT04351802
4	NCT04354831	A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection		Not yet recruiting	No Results Available	COVID-19	Biological: anti-SARS-CoV-2 convalescent plasma	Overall Mortality within 60 days|Length of ICU stay during current admission for COVID	Medical College of Wisconsin|Froedtert Hospital	All	18 Years and older   (Adult, Older Adult)	Phase 2	106	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	PRO00037712	May 1, 2020	May 1, 2022	May 1, 2023	April 21, 2020		April 21, 2020			https://ClinicalTrials.gov/show/NCT04354831
5	NCT04345445	Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression		Not yet recruiting	No Results Available	COVID-19	Drug: Tocilizumab|Drug: Methylprednisolone	The proportion of patients requiring mechanical ventilation|Mean days of ventilation|The proportion of patients requiring ICU admission|Overall 28-day survival|Change in symptom severity assessed by the World Health Organization (WHO) Coronavirus Disease 2019 (COVID19) ordinal scale measured daily up to 7 days from baseline|Duration of hospital and ICU stay	University of Malaya	All	18 Years and older   (Adult, Older Adult)	Phase 3	310	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TVCS-COVID19	April 15, 2020	October 31, 2020	October 31, 2020	April 14, 2020		April 14, 2020	University Malaya Medical Centre, Kuala Lumpur, Malaysia		https://ClinicalTrials.gov/show/NCT04345445
6	NCT04359095	Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia		Not yet recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine|Drug: Lopinavir / Ritonavir Pill|Drug: Azithromycin|Other: Standard treatment	Mortality|Number of Participants with Treatment Related Severe Adverse Events as Assessed by the NCORP Guidance for Collection of Adverse Events Related to COVID-19 Infection|Time to death|Number of Participants that are transferred to the Intensive Care Unit (ICU)|Number of Participants that need Mechanical Ventilation Support with endotracheal intubation.|Number of participants Cured assessed by Nasopharyngeal swab, oropharyngeal swab, and blood aspiration for COVID19 (RT-PCR) without clinical symptoms and normal chest X ray|Number of Participants with Any Adverse Event Related to Treatment Assessed by the NCORP Guidance for Collection of Adverse Events Related to COVID-19 Infection	Universidad Nacional de Colombia|Pontificia Universidad Javeriana|Clínica Universitaria Colombia|Hospital Universitario San Ignacio|Hospital Universitario Nacional de Colombia|Clínica Reina Sofía|Fundación Cardio Infantil|Hospital Universitario de Neiva	All	18 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	1600	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	76968	May 11, 2020	October 11, 2020	October 31, 2020	April 24, 2020		April 24, 2020	Hospital Universitario de Neiva, Neiva, Huila, Colombia|Clínica Reina Sofía, Bogotá, Colombia|Fundacion Cardio Infantil, Bogotá, Colombia|Hospital Universitario San Ignacio, Bogotá, Colombia|Clinica Universitaria Colombia, Bogotá, Colombia|Hospital Universitario Nacional de Colombia, Bogotá, Colombia		https://ClinicalTrials.gov/show/NCT04359095
7	NCT04361422	Isotretinoin in Treatment of COVID-19	Randomized	Not yet recruiting	No Results Available	COVID-19	Drug: Isotretinoin Only Product in Oral Dose Form	Clinical clearance	Tanta University	All	18 Years to 40 Years   (Adult)	Phase 3	300	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	9469305c	April 21, 2020	June 2020	September 2020	April 24, 2020		April 24, 2020			https://ClinicalTrials.gov/show/NCT04361422
8	NCT04331509	COVID-19 Symptom Tracker		Recruiting	No Results Available	COVID-19	Other: No Intervention	Physical health symptoms|Lack of physical health symptoms|Fever	King's College London|Zoe Global Limited|Massachusetts General Hospital|Harvard School of Public Health|Stanford University	All	18 Years and older   (Adult, Older Adult)		10000000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	COVID-19 Symptom tracker	March 23, 2020	March 23, 2022	March 23, 2022	April 2, 2020		April 7, 2020	Massachusetts General Hospital, Boston, Massachusetts, United States|King's College London, London, United Kingdom		https://ClinicalTrials.gov/show/NCT04331509
9	NCT04355741	Gut Microbiota, "Spark and Flame" of COVID-19 Disease		Not yet recruiting	No Results Available	COVID-19	Other: Exposure	Differences in gut microbiota composition between COVID-19 patients with different degrees of disease severity.|Differences in gut microbiota composition between COVID-19 patients in relation to mortality.|Differences in gut microbiota composition between COVID-19 patients in relation to length of stay in hospitals.|Differences in gut microbiota composition between COVID-19 patients in relation to duration of mechanical ventilation.	Universidade Nova de Lisboa|NOVA Medical School of Universidade NOVA de Lisboa|Hospital de São Francisco Xavier, Centro Hospitalar de Lisboa Ocidental|Centro Hospitalar Universitário São João|CUF Academic and Research Medical Center|Hospital CUF Infante Santo, S.A.|Centro de Medicina Laboratorial Germano de Sousa, S.A.|CINTESIS - Center for Health Technology and Services Research	All	18 Years and older   (Adult, Older Adult)		60	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	COVID19_Microbiota	April 2020	July 2020	December 2020	April 21, 2020		April 21, 2020	Hospital CUF Infante Santo, S.A., Lisbon, Portugal|Hospital de São Francisco Xavier, Lisbon, Portugal|Centro Hospitalar Universitário São João, Oporto, Portugal		https://ClinicalTrials.gov/show/NCT04355741
10	NCT04347915	The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Clevudine|Drug: Hydroxychloroquine	The rate of subjects tested as negative SARS-Coronavirus-2 (SARS-CoV-2)|The rate of subjects tested as negative SARS-Coronavirus-2 (SARS-CoV-2) in consecutive two days of Real-Time RT-PCR tests|The rate of subjects indicated by the improvement of lung invasive|The change of viral load	Bukwang Pharmaceutical	All	19 Years and older   (Adult, Older Adult)	Phase 2	60	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BK-CLV-201	April 24, 2020	September 30, 2020	December 31, 2020	April 15, 2020		April 17, 2020			https://ClinicalTrials.gov/show/NCT04347915
11	NCT04343183	Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection		Not yet recruiting	No Results Available	COVID-19	Device: Hyperbaric Oxygen Therapy	Decrease incidence of intubation by 30% or greater|Decrease renal injury	Ochsner Health System	All	18 Years and older   (Adult, Older Adult)	Not Applicable	48	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	STUDY00001051	April 2020	June 2020	June 2020	April 13, 2020		April 13, 2020	Ochsner Medical Center, New Orleans, Louisiana, United States		https://ClinicalTrials.gov/show/NCT04343183
12	NCT04333407	Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.	C-19-ACS	Recruiting	No Results Available	COVID-19	Drug: Aspirin 75mg|Drug: Clopidogrel 75mg|Drug: Rivaroxaban 2.5 MG|Drug: Atorvastatin 40mg|Drug: Omeprazole 20mg	All-cause mortality at 30 days after admission|Absolute change in serum troponin from admission to peak value|Discharge Rate|Intubation Rate	Imperial College London	All	18 Years to 85 Years   (Adult, Older Adult)	Not Applicable	3170	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20HH5868	April 3, 2020	March 30, 2021	March 30, 2021	April 3, 2020		April 9, 2020	Charing Cross Hospital, London, United Kingdom		https://ClinicalTrials.gov/show/NCT04333407
