#1.Counts	ClinicalTrial_Status	ClinicalTrial_Results
99	Not yet recruiting	No Results Available
57	Recruiting	No Results Available
6	Active, not recruiting	No Results Available
4	Enrolling by invitation	No Results Available
3	Withdrawn	No Results Available
3	Available	No Results Available
2	Completed	No Results Available
-e 
#2.Counts	ClinicalTrial Start Date
130	March  2020
82	April  2020
50	February  2020
33	April 2020
17	January  2020
10	March 2020
3	February 2020
2	May 2020
-e 
#3.Counts	ClinicalTrial End Date
21	May  2020
21	December  2020
19	June  2020
19	July  2020
15	April  2020
13	September  2020
12	March  2020
11	November  2020
11	August  2020
10	October  2020
10	May 2020
8	December 2020
6	September 2020
5	October 2020
4	July 2020
4	February  2020
3	November 2020
3	June 2020
3	August 2020
3	April 2020
1	March 2020
-e 
4.Counts	Drugs in clinical trials
21	Hydroxychloroquine
7	Remdesivir
6	Tocilizumab
5	Lopinavir/ritonavir
4	Colchicine
3	Methylprednisolone
3	Losartan
3	Hydroxychloroquine Sulfate
3	DAS181
3	Azithromycin
2	Tocilizumab (TCZ)
2	Sarilumab
2	PUL-042 Inhalation Solution
2	Plasma
2	Nitric Oxide Gas
2	Nitric Oxide
2	Dexamethasone
2	Chloroquine phosphate
2	BCG Vaccine
2	Abidol hydrochloride
1	Yinhu Qingwen Granula
1	YinHu QingWen Decoction
1	Xiyanping injection
1	Vitamin C
1	VC
1	Valsartan (Diovan)
1	Traditional Chinese Medicine Prescription
1	Tradipitant
1	Tofacitinib
1	Tocilizumab Injection
1	Thiazide-like diuretics
1	thalidomide
1	Tetrandrine
1	TCM prescriptions
1	T89
1	Siltuximab
1	Sildenafil citrate tablets
1	Sarilumab SAR153191
1	Sargramostim
1	Ruxolitinib Oral Tablet
1	Ruxolitinib
1	RoActemra iv
1	RhACE2 APN01
1	Recombinant human interferon α1β
1	recombinant human interferon Alpha-1b
1	Recombinant human angiotensin-converting enzyme 2 (rhACE2)
1	Plaquenil 200Mg Tablet
1	placebo
1	Piclidenoson
1	Peginterferon Lambda-1a
1	PD-1 blocking antibody+standard treatment
1	Oral
1	N-acetylcysteine+ Fuzheng Huayu Tablet
1	methylprednisolone therapy
1	Low-dose chloroquine/hydroxychloroquine
1	Lopinavir / ritonavir tablets combined with Xiyanping injection
1	lopinavir/ritonavir
1	Levamisole Pill + Budesonide+Formoterol inhaler
1	Intravenous Immunoglobulin
1	Injection
1	Inhaled nitric oxide gas
1	Inhalation
1	Immunoglobulin of cured patients
1	Ibuprofen
1	Hyperbaric oxygen
1	Hydroxychloroquine Sulfate 400 mg twice a day
1	Hydroxychloroquine SAR321068
1	Hydroxychloroquine Oral Product
1	Hydroxychloroquine + azithromycin
1	Hydroxychloroquine as post exposure prophylaxis
1	Hydroxychloroquine 200 Mg Oral Tablet
1	Huaier Granule
1	Ganovo+ritonavir+/-Interferon nebulization
1	Fixed-duration Hydrocortisone
1	Fingolimod 0.5 mg
1	Favipiravir Combined With Tocilizumab
1	Favipiravir
1	Experimental group
1	Escin
1	Emtricitabine/tenofovir disoproxil
1	Eicosapentaenoic acid gastro-resistant capsules
1	Eculizumab
1	Defibrotide Injection
1	Deferoxamine
1	Darunavir and Cobicistat
1	Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules
1	Ciclesonide Metered Dose Inhaler [Alvesco]
1	Chloroquine diphosphate
1	Chloroquine analog (GNS651)
1	chloroquine
1	CD24Fc
1	Carrimycin
1	Camostat Mesilate
1	Bromhexine Hydrochloride Tablets
1	BLD-2660
1	Bevacizumab Injection
1	Bevacizumab
1	Best supportive Care (BSC) + IFX-1
1	Baricitinib
1	Aviptadil by intravenous infusion + maximal intensive care
1	Aspirin 75mg
1	ASC09/ritonavir group
1	ASC09F+Oseltamivir
1	Arbidol
1	Antiviral treatment and prophylaxis
1	Anluohuaxian
1	Angiotensin 1-7
1	ACE inhibitor
1	2: Usual practice + SYMBICORT RAPIHALER
1	1: Naproxen
1	1: discontinuation of RAS blocker therapy
