#1.Counts	ClinicalTrial_Status	ClinicalTrial_Results
152	Not yet recruiting	No Results Available
150	Recruiting	No Results Available
13	Enrolling by invitation	No Results Available
8	Active, not recruiting	No Results Available
5	Completed	No Results Available
5	Available	No Results Available
3	Withdrawn	No Results Available
2	Suspended	No Results Available
1	Terminated	No Results Available
-e 
#2.Counts	ClinicalTrial Start Date
349	April  2020
160	March  2020
98	April 2020
55	February  2020
18	May  2020
18	January  2020
10	May 2020
6	March 2020
4	June  2020
2	February 2020
1	July  2020
-e 
#3.Counts	ClinicalTrial End Date
49	July  2020
49	December  2020
39	May  2020
37	June  2020
36	April  2020
29	September  2020
25	December 2020
24	August  2020
23	October  2020
21	November  2020
18	September 2020
18	August 2020
17	October 2020
15	July 2020
13	May 2020
13	March  2020
8	November 2020
8	June 2020
4	February  2020
2	April 2020
1	March 2020
1	January  2020
-e 
4.Counts	Drugs in clinical trials
39	Hydroxychloroquine
8	Tocilizumab
7	Remdesivir
7	Hydroxychloroquine Sulfate
5	Ruxolitinib
5	Lopinavir/ritonavir
4	Losartan
4	Favipiravir
4	DAS181
4	Colchicine
4	Chloroquine
4	Azithromycin
3	Sarilumab
3	Nitric Oxide Gas
3	Methylprednisolone
3	Camostat Mesilate
2	Tocilizumab (TCZ)
2	Suspension of heat killed (autoclaved) Mycobacterium w
2	Selinexor
2	PUL-042 Inhalation Solution
2	Plasma
2	Placebos
2	Nitric Oxide
2	Hydroxychloroquine Sulfate Regular dose
2	Hydroxychloroquine (HCQ)
2	HB-adMSCs
2	Eculizumab
2	Dexamethasone
2	Colchicine Tablets
2	Chloroquine phosphate
2	Bevacizumab Injection
2	BCG Vaccine
2	Baricitinib
2	Anakinra
2	Abidol hydrochloride
1	Yinhu Qingwen Granula
1	YinHu QingWen Decoction
1	Xiyanping injection
1	Vitamin C
1	VC
1	Vazegepant (BHV-3500)
1	Valsartan (Diovan)
1	UNIKINON (Chloroquine phosphate) 200mg tablets
1	unfractionated heparin
1	Umifenovir
1	Treatment with Dexmedetomidine
1	Treatment and prophylaxis
1	Transfusion of COVID-19 convalescent plasma
1	Tranexamic acid tablets
1	Tranexamic acid
1	Traditional Chinese Medicine Prescription
1	Tradipitant
1	Tofacitinib
1	Tocilizumab Injection
1	TJ003234
1	Thiazide-like diuretics
1	thalidomide
1	Tetrandrine
1	Telmisartan arm will receive 80 mg Telmisartan twice daily plus standard care.
1	TD-0903
1	TCM prescriptions
1	Tacrolimus
1	T89
1	Stem Cell Product
1	Spironolactone 100mg
1	Sirolimus
1	Siltuximab
1	Sildenafil citrate tablets
1	Sevoflurane
1	Sarilumab SAR153191
1	Sargramostim
1	Saline oral/nasal rinse
1	Ruxolitinib plus simvastatin
1	Ruxolitinib Oral Tablet
1	Ruxolitinib 10 MG
1	RoActemra iv
1	RhACE2 APN01
1	Recombinant human interferon α1β
1	recombinant human interferon Alpha-1b
1	Recombinant human angiotensin-converting enzyme 2 (rhACE2)
1	Pyridostigmine Bromide
1	Prednisone
1	Povidone-Iodine 2%
1	Plaquenil 200Mg Tablet
1	placebo
1	Piclidenoson
1	Pegylated interferon lambda
1	Peginterferon lambda alfa-1a subcutaneous injection
1	Peginterferon Lambda-1A
1	Peginterferon Lambda-1a
1	PD-1 blocking antibody+standard treatment
1	Patients with the treatment agains COVID19
1	Oral
1	NORS (Nitric Oxide Releasing Solution)
1	Nivolumab Injection
1	Nitazoxanide Tablets
1	Nitazoxanide 500 MG
1	Nitazoxanide
1	Nintedanib 150 MG
1	Nafamostat Mesilate
1	N-acetylcysteine+ Fuzheng Huayu Tablet
1	methylprednisolone therapy
1	Methylprednisolone Sodium Succinate
1	MethylPREDNISolone 80 Mg/mL Injectable Suspension
1	Methotrexate
1	Melatonin 2mg
1	Mefloquine
1	LY3127804
1	Low-dose chloroquine/hydroxychloroquine
1	Lopinavir / ritonavir tablets combined with Xiyanping injection
1	lopinavir/ritonavir
1	Linagliptin
1	Levamisole Pill + Budesonide+Formoterol inhaler
1	L-ascorbic acid
1	Ivermectine
1	Intravenous Immunoglobulin
1	Interferon Beta-1B
1	Interferon Beta-1A
1	INO-4800
1	Injection
1	injection
1	Inhaled nitric oxide gas
1	Inhaled budesonide
1	Inhalation
1	Immunoglobulin of cured patients
1	Ibuprofen
1	Hyperbaric oxygen
1	hydroxychloroquine tablet
1	Hydroxychloroquine Sulfate (HCQ)
1	Hydroxychloroquine Sulfate 400 mg twice a day
1	Hydroxychloroquine Sulfate 200 milligram (mg) Tab
1	hydroxychloroquine sulfate 200 MG
1	Hydroxychloroquine SAR321068
1	Hydroxychloroquine Pre-Exposure Prophylaxis
1	Hydroxychloroquine + placebo
1	Hydroxychloroquine Oral Product
1	hydroxychloroquine in combination with camostat mesylate
1	Hydroxychloroquine - Daily Dosing
1	Hydroxychloroquine - Daily dosing
1	Hydroxychloroquine, Azithromycin
1	Hydroxychloroquine + Azithromycin
1	Hydroxychloroquine + azithromycin
1	Hydroxychloroquine as post exposure prophylaxis
1	Hydroxychloroquine and azithromycin treatment arm.
1	Hydroxychloroquine 200 Mg Oral Tablet
1	hydroxychloroquine
1	Hydrocortisone
1	Human immunoglobulin
1	Huaier Granule
1	Honey
1	Hidroxicloroquine
1	Hidroxicloroquina
1	HCQ & AZ
1	Group A HCQ
1	Gimsilumab
1	Gargle/Mouthwash
1	Ganovo+ritonavir+/-Interferon nebulization
1	Galidesivir
1	Fluvoxamine
1	Fixed-duration Hydrocortisone
1	Fingolimod 0.5 mg
1	Favipiravir Combined With Tocilizumab
1	favipiravir
1	Escin
1	Enoxaparin Prefilled Syringe [Lovenox]
1	Enoxaparin
1	Emtricitabine/tenofovir disoproxil
1	Eicosapentaenoic acid gastro-resistant capsules
1	Drug Isotretinoin (13 cis retinoic acid ) capsules+standard treatment
1	Dornase Alfa Inhalation Solution [Pulmozyme]
1	Dexamethasone injection
1	Dexamethasone and Hydroxychloroquine
1	Defibrotide Injection
1	Deferoxamine
1	Darunavir and Cobicistat
1	Dapagliflozin 10 MG
1	Danoprevir+Ritonavir
1	Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules
1	CM4620-Injectable Emulsion
1	Clevudine
1	Clazakizumab 12.5 mg
1	Clazakizumab
1	Ciclesonide Metered Dose Inhaler [Alvesco]
1	cholecalciferol 200,000 IU
1	Chlorpromazine Injection
1	Chloroquine Diphosphate
1	Chloroquine diphosphate
1	Chloroquine analog (GNS651)
1	chloroquine
1	chlorine dioxide 3000 ppm
1	Chemotherapy
1	CD24Fc
1	Carrimycin
1	captopril 25mg
1	Canakinumab 150 MG/ML [Ilaris]
1	Bromhexine Hydrochloride Tablets
1	BMS-986253
1	blocker
1	BLD-2660
1	Bevacizumab
1	Best supportive Care (BSC) + IFX-1
1	Aviptadil by intravenous infusion + maximal intensive care
1	Atovaquone/Azithromycin
1	Aspirin 75mg
1	Aspirin
1	Ascorbic Acid and Folic Acid
1	ASC09/ritonavir group
1	ASC09F+Oseltamivir
1	Arbidol
1	Anluohuaxian
1	Angiotensin 1-7
1	Amiodarone
1	Allogeneic and expanded adipose tissue-derived mesenchymal stromal cells
1	ACEIs
1	ACE inhibitor
1	Acalabrutinib
1	2: Usual practice + SYMBICORT RAPIHALER
1	1: Naproxen
1	1: discontinuation of RAS blocker therapy
1	15 days
