#1.Counts	ClinicalTrial_Status	ClinicalTrial_Results
291	Recruiting	No Results Available
256	Not yet recruiting	No Results Available
18	Active, not recruiting	No Results Available
17	Enrolling by invitation	No Results Available
11	Completed	No Results Available
7	Available	No Results Available
6	Suspended	No Results Available
3	Withdrawn	No Results Available
2	Terminated	No Results Available
1	No longer available	No Results Available
-e 
#2.Counts	ClinicalTrial Start Date
632	April  2020
343	May  2020
239	March  2020
113	May 2020
75	April 2020
62	February  2020
42	June  2020
35	June 2020
24	January  2020
6	July 2020
4	March 2020
2	July  2020
2	February 2020
1	September  2020
1	September 2020
1	November 2020
1	August 2020
-e 
#3.Counts	ClinicalTrial End Date
120	December  2020
95	May  2020
91	July  2020
74	June  2020
68	December 2020
65	August  2020
65	April  2020
64	September  2020
60	October  2020
41	November  2020
38	August 2020
34	October 2020
33	September 2020
30	July 2020
24	November 2020
21	June 2020
16	March  2020
14	May 2020
6	February  2020
2	April 2020
1	March 2020
1	January  2020
-e 
4.Counts	Drugs in clinical trials
62	Hydroxychloroquine
12	Tocilizumab
9	Hydroxychloroquine Sulfate
8	Remdesivir
7	Ruxolitinib
7	Favipiravir
6	Colchicine
5	Methylprednisolone
5	Lopinavir/ritonavir
5	Azithromycin
5	Anakinra
4	Sarilumab
4	Nitric Oxide
4	Losartan
4	Hydroxychloroquine (HCQ)
4	Enoxaparin
4	DAS181
4	Chloroquine
3	Suspension of heat killed (autoclaved) Mycobacterium w
3	Nitric Oxide Gas
3	Nitazoxanide
3	Hydroxychloroquine Sulfate 200 MG [Plaquenil]
3	Dexamethasone
3	Convalescent Plasma
3	Colchicine Tablets
3	Clazakizumab
3	Camostat Mesilate
3	Baricitinib
2	Tofacitinib
2	Tocilizumab (TCZ)
2	Tocilizumab Injection
2	Sevoflurane
2	Selinexor
2	Ruxolitinib Oral Tablet
2	PUL-042 Inhalation Solution
2	Prednisone
2	Povidone-Iodine
2	Plasma
2	Placebos
2	Placebo
2	Peginterferon Lambda-1A
2	Lopinavir-Ritonavir
2	L-ascorbic acid
2	Ivermectin
2	Hydroxychloroquine Sulfate Regular dose
2	Hydroxychloroquine Sulfate 200 MG
2	hydroxychloroquine
2	HB-adMSCs
2	Eculizumab
2	Dornase Alfa Inhalation Solution [Pulmozyme]
2	Dexamethasone injection
2	Chloroquine phosphate
2	Bevacizumab Injection
2	BCG Vaccine
2	Ascorbic Acid
2	ACE inhibitor
2	Acalabrutinib
2	Abidol hydrochloride
1	Zilucoplan®
1	Zanubrutinib
1	Yinhu Qingwen Granula
1	YinHu QingWen Decoction
1	XPro1595
1	Xiyanping injection
1	XCEL-UMC-BETA
1	Wharton's jelly derived Mesenchymal stem cells.
1	Vitamin C
1	Veru-111
1	VC
1	Vazegepant (BHV-3500)
1	Valsartan (Diovan)
1	UNIKINON (Chloroquine phosphate) 200mg tablets
1	unfractionated heparin
1	Umifenovir
1	Ulinastatin
1	Treatment with Dexmedetomidine
1	Treatment and prophylaxis
1	Transfusion of SARS-CoV-2 Convalescent Plasma.
1	Transfusion of COVID-19 convalescent plasma
1	Tranexamic acid tablets
1	Tranexamic acid
1	Traditional Chinese Medicine Prescription
1	Tradipitant
1	Tocilizumab 20 MG/ML Intravenous Solution [ACTEMRA]
1	Tocilizumab 180 MG/ML
1	Tociliuzumab
1	TJ003234
1	Tirofiban Injection
1	Thiazide-like diuretics
1	Therapeutic Anticoagulation
1	The POP02 study is collecting bodily fluid samples (i.e., whole blood, effluent samples) of children prescribed the following drugs of interest per standard of care:
1	thalidomide
1	Tetrandrine
1	Telmisartan arm will receive 80 mg Telmisartan twice daily plus standard care.
1	Telmisartan 40mg
1	TD-0903
1	TCM prescriptions
1	TAK-981
1	Tacrolimus
1	T89
1	Subcutaneous Administration (PH FDC SC)
1	Stem Cell Product
1	Stannous Protoporphyrin (90 mg)
1	Standard Treatment
1	Spironolactone 100mg
1	Sodium Bicarbonate
1	SnPP Protoporphyrin
1	Sitagliptin
1	Sirukumab
1	Sirolimus 1 MG/ML
1	Sirolimus
1	Silymarin
1	Siltuximab
1	Sildenafil citrate tablets
1	Sarilumab SAR153191
1	Sarilumab Prefilled Syringe
1	Sarilumab 200 MG/1.14 ML Subcutaneous Solution [KEVZARA]
1	Sargramostim
1	Saline oral/nasal rinse
1	Ruxolitinib plus simvastatin
1	Ruxolitinib administration
1	(rt-PA)
1	RoActemra iv
1	Ringer's Acetate
1	RhACE2 APN01
1	Retrospective case-control analysis
1	Resiniferatoxin
1	Remestemcel-L
1	Recombinant human plasma gelsolin (Rhu-pGSN)
1	Recombinant human interferon α1β
1	recombinant human interferon Alpha-1b
1	Recombinant human angiotensin-converting enzyme 2 (rhACE2)
1	Recombinant Bacterial ACE2 receptors -like enzyme of B38-CAP (rbACE2)
1	Ravulizumab
1	Ramipril 2.5 MG Oral Capsule
1	Pyridostigmine Bromide
1	Progesterone 100 MG
1	Prazosin
1	Povidone-Iodine Nasal Spray and Gargle
1	Povidone-Iodine 2%
1	poractant alfa
1	Plitidepsin 1.5 mg/day
1	Plasma from COVID-19 convalescent patient
1	Plaquenil 200Mg Tablet
1	placebo
1	Piclidenoson
1	Pegylated interferon lambda
1	Peginterferon lambda alfa-1a subcutaneous injection
1	Peginterferon Lambda-1a
1	PD-1 blocking antibody+standard treatment
1	Patients with the treatment agains COVID19
1	Oxytocin
1	Oseltamivir
1	Oral 25-Hydroxyvitamin D3
1	Oral
1	NP-120 (Ifenprodil)
1	NORS (Nitric Oxide Releasing Solution)
1	NO-Immunosuppressive
1	Nivolumab Injection
1	Nivolumab
1	Nitazoxanide Tablets
1	Nitazoxanide 500 MG
1	Nintedanib 150 MG
1	Naltrexone
1	Nafamostat Mesilate
1	N-acetylcysteine+ Fuzheng Huayu Tablet
1	N-acetylcysteine
1	MSTT1041A
1	MRx-4DP0004
1	Montelukast 10mg
1	methylprednisolone therapy
1	Methylprednisolone Sodium Succinate
1	MethylPREDNISolone 80 Mg/mL Injectable Suspension
1	Methotrexate
1	metenkefalin + tridecactide
1	Melphalan
1	Melatonin 2mg
1	Mefloquine
1	Measles-Mumps-Rubella Vaccine
1	MCN (Methylene blue, vitamin C, N-acetyl cysteine)
1	MAS825
1	LY3127804
1	Lucinactant
1	Low Molecular Weight Heparin
1	Low-dose chloroquine
1	Lopinavir / ritonavir tablets combined with Xiyanping injection
1	lopinavir/ritonavir
1	Lopinavir 200Mg/Ritonavir 50Mg FT Test
1	Linagliptin 5 MG
1	Linagliptin
1	Levamisole Pill + Budesonide+Formoterol inhaler
1	Levamisole and isoprinosine
1	Levamisole
