"Date","Total Papers","Diagnosis and treatment","Epidemics","Management","Review","Social Impact","Other"
"before","3368","1868","833","156","733","256","2077"
"2020-03-31","152","88","21","2","43","40","107"
"2020-04-01","135","0","0","0","0","0","0"
"2020-04-02","236","0","0","0","0","0","0"
"2020-04-03","299","0","0","0","0","0","0"
"2020-04-04","111","0","0","0","0","0","0"
"2020-04-05","127","0","0","0","0","0","0"
"2020-04-06","261","0","0","0","0","0","0"
"2020-04-07","176","0","0","0","0","0","0"
"total","4865","1956","854","158","776","296","2184"
