"CountryCode","CountryName","Date"
"IRN","Iran",2020-03-05
"RUS","Russia",2020-03-05
"UKR","Ukraine",2020-03-11
"ITA","Italy",2020-03-12
"BGR","Bulgaria",2020-03-13
"ESP","Spain",2020-03-14
"AUT","Austria",2020-03-16
"CZE","Czech Republic",2020-03-16
"QAT","Qatar",2020-03-16
"FRA","France",2020-03-17
"HRV","Croatia",2020-03-17
"MYS","Malaysia",2020-03-17
"SRB","Serbia",2020-03-17
"BEL","Belgium",2020-03-18
"JOR","Jordan",2020-03-18
"HND","Honduras",2020-03-19
"ARG","Argentina",2020-03-20
"ISR","Israel",2020-03-20
"KOR","South Korea",2020-03-21
"LKA","Sri Lanka",2020-03-21
"RWA","Rwanda",2020-03-21
"VEN","Venezuela",2020-03-21
"BOL","Bolivia",2020-03-22
"DEU","Germany",2020-03-22
"GBR","United Kingdom",2020-03-23
"GRC","Greece",2020-03-23
"NLD","Netherlands",2020-03-23
"NZL","New Zealand",2020-03-23
"ROU","Romania",2020-03-23
"COD","Democratic Republic of Congo",2020-03-24
"CRI","Costa Rica",2020-03-24
"PAK","Pakistan",2020-03-24
"PNG","Papua New Guinea",2020-03-24
"COL","Colombia",2020-03-25
"IND","India",2020-03-25
"ZAF","South Africa",2020-03-26
"AGO","Angola",2020-03-27
"KEN","Kenya",2020-03-27
"TUR","Turkey",2020-03-29
"ZWE","Zimbabwe",2020-03-30
