Entity,Code,Date,TotalTestsPerK
Argentina,ARG,08-Apr-20,0.295
Argentina,ARG,09-Apr-20,0.329
Argentina,ARG,10-Apr-20,0.362
Argentina,ARG,11-Apr-20,0.399
Argentina,ARG,13-Apr-20,0.437
Argentina,ARG,14-Apr-20,0.505
Argentina,ARG,15-Apr-20,0.539
Argentina,ARG,16-Apr-20,0.585
Argentina,ARG,17-Apr-20,0.634
Argentina,ARG,18-Apr-20,0.685
Argentina,ARG,19-Apr-20,0.724
Argentina,ARG,20-Apr-20,0.765
Argentina,ARG,21-Apr-20,0.81
Argentina,ARG,22-Apr-20,0.868
Argentina,ARG,23-Apr-20,0.925
Argentina,ARG,24-Apr-20,0.988
Argentina,ARG,25-Apr-20,1.049
Argentina,ARG,26-Apr-20,1.104
Argentina,ARG,27-Apr-20,1.148
Argentina,ARG,28-Apr-20,1.186
Argentina,ARG,29-Apr-20,1.24
Argentina,ARG,01-May-20,1.298
Australia,AUS,22-Mar-20,5.61
Australia,AUS,29-Mar-20,8.285
Australia,AUS,05-Apr-20,11.653
Australia,AUS,06-Apr-20,11.869
Australia,AUS,07-Apr-20,12.184
Australia,AUS,08-Apr-20,12.524
Australia,AUS,09-Apr-20,12.946
Australia,AUS,10-Apr-20,13.269
Australia,AUS,11-Apr-20,13.641
Australia,AUS,12-Apr-20,13.88
Australia,AUS,13-Apr-20,14.201
Australia,AUS,14-Apr-20,14.372
Australia,AUS,15-Apr-20,14.564
Australia,AUS,16-Apr-20,14.902
Australia,AUS,17-Apr-20,15.354
Australia,AUS,18-Apr-20,15.942
Australia,AUS,19-Apr-20,16.51
Australia,AUS,20-Apr-20,16.931
Australia,AUS,21-Apr-20,17.249
Australia,AUS,22-Apr-20,17.743
Australia,AUS,23-Apr-20,18.3
Australia,AUS,24-Apr-20,18.917
Australia,AUS,25-Apr-20,19.383
Australia,AUS,26-Apr-20,19.861
Australia,AUS,27-Apr-20,20.277
Australia,AUS,28-Apr-20,20.811
Australia,AUS,29-Apr-20,21.35
Australia,AUS,30-Apr-20,22.104
Australia,AUS,01-May-20,23.093
Australia,AUS,02-May-20,23.984
