Entity,Code,Date,DailyChangeInTotalTestsPerK
Argentina,ARG,09-Apr-20,0.034
Argentina,ARG,10-Apr-20,0.034
Argentina,ARG,11-Apr-20,0.036
Argentina,ARG,14-Apr-20,0.067
Argentina,ARG,15-Apr-20,0.035
Argentina,ARG,16-Apr-20,0.046
Argentina,ARG,17-Apr-20,0.049
Argentina,ARG,18-Apr-20,0.051
Argentina,ARG,19-Apr-20,0.039
Argentina,ARG,20-Apr-20,0.041
Argentina,ARG,21-Apr-20,0.045
Argentina,ARG,22-Apr-20,0.058
Argentina,ARG,23-Apr-20,0.057
Argentina,ARG,24-Apr-20,0.063
Argentina,ARG,25-Apr-20,0.061
Argentina,ARG,26-Apr-20,0.055
Argentina,ARG,27-Apr-20,0.044
Argentina,ARG,28-Apr-20,0.038
Argentina,ARG,29-Apr-20,0.054
Australia,AUS,06-Apr-20,0.216
Australia,AUS,07-Apr-20,0.315
Australia,AUS,08-Apr-20,0.34
Australia,AUS,09-Apr-20,0.422
Australia,AUS,10-Apr-20,0.322
Australia,AUS,11-Apr-20,0.373
Australia,AUS,12-Apr-20,0.239
Australia,AUS,13-Apr-20,0.321
Australia,AUS,14-Apr-20,0.171
Australia,AUS,15-Apr-20,0.192
Australia,AUS,16-Apr-20,0.338
Australia,AUS,17-Apr-20,0.452
Australia,AUS,18-Apr-20,0.587
Australia,AUS,19-Apr-20,0.568
Australia,AUS,20-Apr-20,0.421
Australia,AUS,21-Apr-20,0.318
Australia,AUS,22-Apr-20,0.494
Australia,AUS,23-Apr-20,0.558
Australia,AUS,24-Apr-20,0.616
Australia,AUS,25-Apr-20,0.466
Australia,AUS,26-Apr-20,0.478
Australia,AUS,27-Apr-20,0.416
Australia,AUS,28-Apr-20,0.534
Australia,AUS,29-Apr-20,0.538
Australia,AUS,30-Apr-20,0.754
Austria,AUT,26-Feb-20,0.011
Austria,AUT,27-Feb-20,0.014
Austria,AUT,28-Feb-20,0.035
Austria,AUT,29-Feb-20,0.098
Austria,AUT,04-Mar-20,0.051
Austria,AUT,05-Mar-20,0.064
Austria,AUT,06-Mar-20,0.032
Austria,AUT,07-Mar-20,0.034
Austria,AUT,08-Mar-20,0.022
Austria,AUT,09-Mar-20,0.025
Austria,AUT,10-Mar-20,0.032
Austria,AUT,11-Mar-20,0.037
Austria,AUT,12-Mar-20,0.056
Austria,AUT,13-Mar-20,0.079
Austria,AUT,14-Mar-20,0.098
Austria,AUT,15-Mar-20,0.078
Austria,AUT,16-Mar-20,0.036
Austria,AUT,17-Mar-20,0.199
Austria,AUT,18-Mar-20,0.189
Austria,AUT,19-Mar-20,0.194
Austria,AUT,20-Mar-20,0.21
Austria,AUT,21-Mar-20,0.326
Austria,AUT,22-Mar-20,0.313
Austria,AUT,23-Mar-20,0.229
Austria,AUT,24-Mar-20,0.551
Austria,AUT,25-Mar-20,0.446
Austria,AUT,26-Mar-20,0.398
Austria,AUT,27-Mar-20,0.395
Austria,AUT,28-Mar-20,0.355
Austria,AUT,29-Mar-20,0.41
Austria,AUT,30-Mar-20,0.335
Austria,AUT,31-Mar-20,0.321
Austria,AUT,01-Apr-20,0.391
Austria,AUT,02-Apr-20,4.033
Austria,AUT,03-Apr-20,0.683
Austria,AUT,04-Apr-20,0.643
Austria,AUT,05-Apr-20,0.475
Austria,AUT,06-Apr-20,0.32
Austria,AUT,07-Apr-20,0.437
Austria,AUT,08-Apr-20,0.613
Austria,AUT,09-Apr-20,0.614
Austria,AUT,10-Apr-20,0.939
Austria,AUT,11-Apr-20,0.692
