"Date","CountryCode","CountryName","PopulationReleased"
2020-01-01,"AFG","Afghanistan",0
2020-01-02,"AFG","Afghanistan",0
2020-01-03,"AFG","Afghanistan",0
2020-01-04,"AFG","Afghanistan",0
2020-01-05,"AFG","Afghanistan",0
2020-01-06,"AFG","Afghanistan",0
2020-01-07,"AFG","Afghanistan",0
2020-01-08,"AFG","Afghanistan",0
2020-01-09,"AFG","Afghanistan",0
2020-01-10,"AFG","Afghanistan",0
2020-01-11,"AFG","Afghanistan",0
2020-01-12,"AFG","Afghanistan",0
2020-01-13,"AFG","Afghanistan",0
2020-01-14,"AFG","Afghanistan",0
2020-01-15,"AFG","Afghanistan",0
2020-01-16,"AFG","Afghanistan",0
2020-01-17,"AFG","Afghanistan",0
2020-01-18,"AFG","Afghanistan",0
2020-01-19,"AFG","Afghanistan",0
2020-01-20,"AFG","Afghanistan",0
2020-01-21,"AFG","Afghanistan",0
2020-01-22,"AFG","Afghanistan",0
2020-01-23,"AFG","Afghanistan",0
2020-01-24,"AFG","Afghanistan",0
2020-01-25,"AFG","Afghanistan",0
2020-01-26,"AFG","Afghanistan",0
2020-01-27,"AFG","Afghanistan",0
2020-01-28,"AFG","Afghanistan",0
2020-01-29,"AFG","Afghanistan",0
2020-01-30,"AFG","Afghanistan",0
2020-01-31,"AFG","Afghanistan",0
2020-02-01,"AFG","Afghanistan",0
2020-02-02,"AFG","Afghanistan",0
2020-02-03,"AFG","Afghanistan",0
2020-02-04,"AFG","Afghanistan",0
2020-02-05,"AFG","Afghanistan",0
2020-02-06,"AFG","Afghanistan",0
2020-02-07,"AFG","Afghanistan",0
2020-02-08,"AFG","Afghanistan",0
2020-02-09,"AFG","Afghanistan",0
2020-02-10,"AFG","Afghanistan",0
2020-02-11,"AFG","Afghanistan",0
2020-02-12,"AFG","Afghanistan",0
2020-02-13,"AFG","Afghanistan",0
2020-02-14,"AFG","Afghanistan",0
2020-02-15,"AFG","Afghanistan",0
2020-02-16,"AFG","Afghanistan",0
2020-02-17,"AFG","Afghanistan",0
2020-02-18,"AFG","Afghanistan",0
2020-02-19,"AFG","Afghanistan",0
2020-02-20,"AFG","Afghanistan",0
2020-02-21,"AFG","Afghanistan",0
2020-02-22,"AFG","Afghanistan",0
2020-02-23,"AFG","Afghanistan",0
2020-02-24,"AFG","Afghanistan",0
2020-02-25,"AFG","Afghanistan",0
2020-02-26,"AFG","Afghanistan",0
2020-02-27,"AFG","Afghanistan",0
2020-02-28,"AFG","Afghanistan",0
2020-02-29,"AFG","Afghanistan",0
2020-03-01,"AFG","Afghanistan",0
2020-03-02,"AFG","Afghanistan",0
2020-03-03,"AFG","Afghanistan",0
2020-03-04,"AFG","Afghanistan",0
2020-03-05,"AFG","Afghanistan",0
2020-03-06,"AFG","Afghanistan",0
2020-03-07,"AFG","Afghanistan",0
2020-03-08,"AFG","Afghanistan",0
2020-03-09,"AFG","Afghanistan",0
2020-03-10,"AFG","Afghanistan",0
2020-03-11,"AFG","Afghanistan",0
2020-03-12,"AFG","Afghanistan",0
2020-03-13,"AFG","Afghanistan",0
2020-03-14,"AFG","Afghanistan",0
2020-03-15,"AFG","Afghanistan",0
2020-03-16,"AFG","Afghanistan",0
2020-03-17,"AFG","Afghanistan",0
2020-03-18,"AFG","Afghanistan",0
2020-03-19,"AFG","Afghanistan",0
2020-03-20,"AFG","Afghanistan",0
2020-03-21,"AFG","Afghanistan",0
2020-03-22,"AFG","Afghanistan",0
2020-03-23,"AFG","Afghanistan",0
2020-03-24,"AFG","Afghanistan",0
2020-03-25,"AFG","Afghanistan",0
2020-03-26,"AFG","Afghanistan",0
