"Date","CountryCode","CountryName","S1_School closing","S1_IsGeneral","S2_Workplace closing","S2_IsGeneral","S3_Cancel public events","S3_IsGeneral","S4_Close public transport","S4_IsGeneral","S6_Restrictions on internal movement","S6_IsGeneral","S7_International travel controls","StringencyIndex"
2020-01-01,"AFG","Afghanistan","0","1",NA,NA,"0","1",NA,NA,"0","1","0","0"
2020-01-01,"AGO","Angola","0",NA,"0",NA,"0","1","0","1","0","1","0","0"
2020-01-01,"ARE","United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,"ARG","Argentina","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,"AUS","Australia","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","7"
2020-01-01,"AUT","Austria","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,"BEL","Belgium","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"BGR","Bulgaria","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,"BLZ","Belize","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"BMU","Bermuda","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-01,"BOL","Bolivia","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"BRA","Brazil","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"BRB","Barbados","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-01,"BWA","Botswana","0","1","0",NA,"0",NA,"0",NA,"0",NA,"1","19"
2020-01-01,"CAN","Canada","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"CHE","Switzerland","0","1","0",NA,"0",NA,"0",NA,"0","1","0","0"
2020-01-01,"CHL","Chile","0","0","0","0","0","0","0",NA,"0","0","0","0"
2020-01-01,"CHN","China","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-01,"COL","Colombia","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"CRI","Costa Rica","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"CZE","Czech Republic","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"DEU","Germany","0","0","0","0","0","0","0",NA,"0","0","0","0"
2020-01-01,"DNK","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,"DOM","Dominican Republic","0","0","0","0","0","0","0",NA,"0","0","0","0"
2020-01-01,"DZA","Algeria","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"ECU","Ecuador","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-01,"EGY","Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,"ESP","Spain","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"EST","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,"FIN","Finland","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"FRA","France","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"GBR","United Kingdom","0","0","0","0","0","0","0",NA,"0","0","0","0"
2020-01-01,"GEO","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,"GRC","Greece","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"GTM","Guatemala","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-01,"GUY","Guyana","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"HKG","Hong Kong","0","0","0","0","0","0","0","0","0","0","0","14"
2020-01-01,"HND","Honduras","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-01,"HRV","Croatia","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"HUN","Hungary","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
2020-01-01,"IDN","Indonesia","0","0","0","0","0","0","0","0","0","0","0","0"
2020-01-01,"IND","India","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0"
