"Country","Date","Cases","Cases_daily","Deaths","Deaths_daily"
"Australia",2020-01-22,0,0,0,0
"Australia",2020-01-23,0,0,0,0
"Australia",2020-01-24,0,0,0,0
"Australia",2020-01-25,0,0,0,0
"Australia",2020-01-26,4,4,0,0
"Australia",2020-01-27,5,1,0,0
"Australia",2020-01-28,5,0,0,0
"Australia",2020-01-29,6,1,0,0
"Australia",2020-01-30,9,3,0,0
"Australia",2020-01-31,9,0,0,0
"Australia",2020-02-01,12,3,0,0
"Australia",2020-02-02,12,0,0,0
"Australia",2020-02-03,12,0,0,0
"Australia",2020-02-04,13,1,0,0
"Australia",2020-02-05,13,0,0,0
"Australia",2020-02-06,14,1,0,0
"Australia",2020-02-07,15,1,0,0
"Australia",2020-02-08,15,0,0,0
"Australia",2020-02-09,15,0,0,0
"Australia",2020-02-10,15,0,0,0
"Australia",2020-02-11,15,0,0,0
"Australia",2020-02-12,15,0,0,0
"Australia",2020-02-13,15,0,0,0
"Australia",2020-02-14,15,0,0,0
"Australia",2020-02-15,15,0,0,0
"Australia",2020-02-16,15,0,0,0
"Australia",2020-02-17,15,0,0,0
"Australia",2020-02-18,15,0,0,0
"Australia",2020-02-19,15,0,0,0
"Australia",2020-02-20,15,0,0,0
"Australia",2020-02-21,15,0,0,0
"Australia",2020-02-22,15,0,0,0
"Australia",2020-02-23,15,0,0,0
"Australia",2020-02-24,15,0,0,0
"Australia",2020-02-25,15,0,0,0
"Australia",2020-02-26,15,0,0,0
"Australia",2020-02-27,15,0,0,0
"Australia",2020-02-28,15,0,0,0
"Australia",2020-02-29,25,10,0,0
"Australia",2020-03-01,27,2,1,1
"Australia",2020-03-02,30,3,1,0
"Australia",2020-03-03,39,9,1,0
"Australia",2020-03-04,52,13,2,1
"Australia",2020-03-05,55,3,2,0
"Australia",2020-03-06,60,5,2,0
"Australia",2020-03-07,63,3,2,0
"Australia",2020-03-08,76,13,3,1
"Australia",2020-03-09,91,15,3,0
"Australia",2020-03-10,107,16,3,0
"Australia",2020-03-11,128,21,3,0
"Australia",2020-03-12,128,0,3,0
"Australia",2020-03-13,200,72,3,0
"Australia",2020-03-14,250,50,3,0
"Australia",2020-03-15,297,47,3,0
"Australia",2020-03-16,377,80,3,0
"Australia",2020-03-17,452,75,5,2
"Australia",2020-03-18,568,116,6,1
"Australia",2020-03-19,681,113,6,0
"Australia",2020-03-20,791,110,7,1
"Australia",2020-03-21,1071,280,7,0
"Australia",2020-03-22,1549,478,7,0
"Australia",2020-03-23,1682,133,7,0
"Australia",2020-03-24,2044,362,8,1
"Australia",2020-03-25,2364,320,8,0
"Australia",2020-03-26,2810,446,13,5
"Australia",2020-03-27,3143,333,13,0
"Australia",2020-03-28,3640,497,14,1
"Australia",2020-03-29,3984,344,16,2
"Australia",2020-03-30,4361,377,17,1
"Australia",2020-03-31,4559,198,18,1
"Australia",2020-04-01,4862,303,20,2
"Australia",2020-04-02,5116,254,24,4
"Australia",2020-04-03,5330,214,28,4
"Australia",2020-04-04,5550,220,30,2
"Australia",2020-04-05,5687,137,35,5
"Australia",2020-04-06,5797,110,40,5
"Australia",2020-04-07,5895,98,45,5
"Australia",2020-04-08,6010,115,50,5
"Australia",2020-04-09,6108,98,51,1
"Australia",2020-04-10,6215,107,54,3
"Australia",2020-04-11,6303,88,57,3
"Canada",2020-01-22,0,0,0,0
"Canada",2020-01-23,0,0,0,0
"Canada",2020-01-24,0,0,0,0
"Canada",2020-01-25,0,0,0,0
"Canada",2020-01-26,1,1,0,0
"Canada",2020-01-27,1,0,0,0
