"Date","State","fips","Cases","Deaths","Cases_daily","Deaths_daily"
2020-05-15,"Alabama","01",11373,483,272,10
2020-05-14,"Alabama","01",11101,473,401,23
2020-05-13,"Alabama","01",10700,450,236,15
2020-05-12,"Alabama","01",10464,435,300,32
2020-05-11,"Alabama","01",10164,403,275,10
2020-05-10,"Alabama","01",9889,393,221,3
2020-05-09,"Alabama","01",9668,390,283,7
2020-05-08,"Alabama","01",9385,383,339,14
2020-05-07,"Alabama","01",9046,369,355,26
2020-05-06,"Alabama","01",8691,343,254,28
2020-05-05,"Alabama","01",8437,315,325,17
2020-05-04,"Alabama","01",8112,298,224,8
2020-05-03,"Alabama","01",7888,290,277,2
2020-05-02,"Alabama","01",7611,288,317,-1
2020-05-01,"Alabama","01",7294,289,226,17
2020-04-30,"Alabama","01",7068,272,143,10
2020-04-29,"Alabama","01",6925,262,175,20
2020-04-28,"Alabama","01",6750,242,211,14
2020-04-27,"Alabama","01",6539,228,118,9
2020-04-26,"Alabama","01",6421,219,208,6
2020-04-25,"Alabama","01",6213,213,187,4
2020-04-24,"Alabama","01",6026,209,194,12
2020-04-23,"Alabama","01",5832,197,222,-4
2020-04-22,"Alabama","01",5610,201,283,15
2020-04-21,"Alabama","01",5327,186,249,22
2020-04-20,"Alabama","01",5078,164,175,4
2020-04-19,"Alabama","01",4903,160,180,13
2020-04-18,"Alabama","01",4723,147,151,-4
2020-04-17,"Alabama","01",4572,151,168,14
2020-04-16,"Alabama","01",4404,137,163,14
2020-04-15,"Alabama","01",4241,123,288,9
2020-04-14,"Alabama","01",3953,114,148,10
2020-04-13,"Alabama","01",3805,104,222,11
2020-04-12,"Alabama","01",3583,93,321,0
2020-04-11,"Alabama","01",3262,93,254,13
2020-04-10,"Alabama","01",3008,80,170,2
2020-04-09,"Alabama","01",2838,78,340,11
2020-04-08,"Alabama","01",2498,67,301,3
2020-04-07,"Alabama","01",2197,64,192,11
2020-04-06,"Alabama","01",2005,53,165,8
2020-04-05,"Alabama","01",1840,45,208,1
2020-04-04,"Alabama","01",1632,44,97,6
2020-04-03,"Alabama","01",1535,38,265,6
2020-04-02,"Alabama","01",1270,32,164,4
2020-04-01,"Alabama","01",1106,28,107,15
2020-03-31,"Alabama","01",999,13,52,2
2020-03-30,"Alabama","01",947,11,117,6
2020-03-29,"Alabama","01",830,5,110,1
2020-03-28,"Alabama","01",720,4,81,0
2020-03-27,"Alabama","01",639,4,101,1
2020-03-26,"Alabama","01",538,3,152,2
2020-03-25,"Alabama","01",386,1,144,1
2020-03-24,"Alabama","01",242,0,46,0
2020-03-23,"Alabama","01",196,0,39,0
2020-03-22,"Alabama","01",157,0,26,0
2020-03-21,"Alabama","01",131,0,25,0
2020-03-20,"Alabama","01",106,0,28,0
