Date,Quantile50,Quantile75,Quantile975,Local
4/9/2020,17000,17100,17300,United Kingdom
4/10/2020,34800,35000,35300,United Kingdom
4/11/2020,53600,53800,54300,United Kingdom
4/12/2020,73000,73400,74000,United Kingdom
4/13/2020,93000,93500,94400,United Kingdom
4/14/2020,113500,114000,115200,United Kingdom
4/15/2020,134200,134900,136300,United Kingdom
4/16/2020,155200,156000,157600,United Kingdom
4/17/2020,176300,177300,179200,United Kingdom
4/18/2020,197600,198700,200700,United Kingdom
4/19/2020,218900,220100,222400,United Kingdom
4/20/2020,240200,241600,244000,United Kingdom
4/21/2020,261600,263000,265800,United Kingdom
4/22/2020,282900,284500,287500,United Kingdom
4/23/2020,304300,306000,309200,United Kingdom
4/24/2020,325800,327500,330900,United Kingdom
4/25/2020,347000,348900,352500,United Kingdom
4/26/2020,368200,370100,373800,United Kingdom
4/27/2020,389100,391100,395000,United Kingdom
4/28/2020,409700,411800,415800,United Kingdom
4/29/2020,430100,432200,436400,United Kingdom
4/30/2020,450000,452300,456500,United Kingdom
5/1/2020,469500,471800,476203,United Kingdom
5/2/2020,488400,490700,495200,United Kingdom
5/3/2020,506400,508900,513300,United Kingdom
5/4/2020,523600,526100,530700,United Kingdom
5/5/2020,539700,542200,547000,United Kingdom
5/6/2020,554700,557300,562300,United Kingdom
5/7/2020,568500,571100,576300,United Kingdom
5/8/2020,581000,583700,588900,United Kingdom
5/9/2020,592200,594825,600300,United Kingdom
5/10/2020,601700,604500,609900,United Kingdom
5/11/2020,609800,612700,618200,United Kingdom
5/12/2020,616300,619200,624500,United Kingdom
5/13/2020,621050,624000,629500,United Kingdom
5/14/2020,624100,627000,632700,United Kingdom
5/15/2020,625500,628500,634203,United Kingdom
5/16/2020,625400,628300,634200,United Kingdom
5/17/2020,623600,626500,632300,United Kingdom
5/18/2020,620200,623100,629000,United Kingdom
5/19/2020,615300,618400,624103,United Kingdom
5/20/2020,609000,612000,617600,United Kingdom
5/21/2020,601200,604200,610000,United Kingdom
5/22/2020,592200,595100,600900,United Kingdom
5/23/2020,582000,585000,590600,United Kingdom
5/24/2020,570700,573700,579500,United Kingdom
5/25/2020,558700,561700,567400,United Kingdom
5/26/2020,546000,548900,554603,United Kingdom
5/27/2020,532500,535500,541100,United Kingdom
5/28/2020,518400,521300,526803,United Kingdom
5/29/2020,503900,506800,512300,United Kingdom
5/30/2020,488900,491700,497200,United Kingdom
5/31/2020,473600,476500,481800,United Kingdom
6/1/2020,458200,461000,466300,United Kingdom
6/2/2020,442600,445400,450803,United Kingdom
6/3/2020,427100,429800,435103,United Kingdom
6/4/2020,411500,414300,419500,United Kingdom
6/5/2020,396100,398800,404000,United Kingdom
6/6/2020,380900,383600,388603,United Kingdom
6/7/2020,365900,368500,373400,United Kingdom
6/8/2020,351100,353600,358400,United Kingdom
6/9/2020,336600,339000,343900,United Kingdom
6/10/2020,322400,324900,329600,United Kingdom
6/11/2020,308600,311000,315700,United Kingdom
6/12/2020,295200,297600,302200,United Kingdom
6/13/2020,282200,284500,288900,United Kingdom
6/14/2020,269600,271800,276303,United Kingdom
6/15/2020,257400,259600,263900,United Kingdom
6/16/2020,245700,247800,252000,United Kingdom
6/17/2020,234300,236500,240600,United Kingdom
6/18/2020,223400,225500,229500,United Kingdom
6/19/2020,212900,215000,218900,United Kingdom
6/20/2020,202900,204900,208700,United Kingdom
6/21/2020,193300,195200,199000,United Kingdom
6/22/2020,184100,185900,189600,United Kingdom
6/23/2020,175300,177100,180700,United Kingdom
6/24/2020,166900,168700,172103,United Kingdom
6/25/2020,158800,160600,164000,United Kingdom
6/26/2020,151200,152900,156200,United Kingdom
6/27/2020,143800,145500,148800,United Kingdom
6/28/2020,136800,138500,141700,United Kingdom
6/29/2020,130100,131800,134800,United Kingdom
6/30/2020,123800,125400,128400,United Kingdom
7/1/2020,117700,119300,122100,United Kingdom
7/2/2020,112000,113500,116300,United Kingdom
7/3/2020,106500,108000,110700,United Kingdom
7/4/2020,101300,102700,105500,United Kingdom
7/5/2020,96400,97800,100400,United Kingdom
7/6/2020,91700,93100,95700,United Kingdom
7/7/2020,87300,88600,91200,United Kingdom
7/8/2020,83100,84400,86900,United Kingdom
7/9/2020,79100,80300,82800,United Kingdom
7/10/2020,75300,76500,78900,United Kingdom
7/11/2020,71700,72800,75100,United Kingdom
7/12/2020,68200,69300,71600,United Kingdom
7/13/2020,64900,66000,68200,United Kingdom
7/14/2020,61700,62800,65000,United Kingdom
7/15/2020,58700,59800,61900,United Kingdom
7/16/2020,55800,56900,58900,United Kingdom
7/17/2020,53100,54100,56100,United Kingdom
7/18/2020,50500,51500,53400,United Kingdom
7/19/2020,48100,49100,50900,United Kingdom
7/20/2020,45800,46700,48600,United Kingdom
7/21/2020,43600,44500,46300,United Kingdom
7/22/2020,41500,42400,44200,United Kingdom
7/23/2020,39500,40400,42100,United Kingdom
7/24/2020,37600,38500,40200,United Kingdom
7/25/2020,35800,36700,38300,United Kingdom
7/26/2020,34100,34900,36500,United Kingdom
7/27/2020,32400,33300,34900,United Kingdom
7/28/2020,30900,31700,33200,United Kingdom
7/29/2020,29400,30200,31600,United Kingdom
7/30/2020,28000,28700,30100,United Kingdom
7/31/2020,26600,27300,28700,United Kingdom
8/1/2020,25300,26000,27400,United Kingdom
8/2/2020,24100,24800,26100,United Kingdom
8/3/2020,22900,23600,24900,United Kingdom
8/4/2020,21800,22500,23800,United Kingdom
8/5/2020,20800,21400,22700,United Kingdom
8/6/2020,19800,20400,21603,United Kingdom
8/7/2020,18800,19400,20600,United Kingdom
8/8/2020,17900,18500,19700,United Kingdom
8/9/2020,17000,17600,18800,United Kingdom
