"State","Date","fips","Cases","Cases_daily","time","Cases_log","Cases_sum","n","coef.intercept","Exp_rate"
"Alabama",2020-03-20,"01",106,28,1,4.66343909411207,7294,43,NA,NA
"Alabama",2020-03-21,"01",131,25,2,4.87519732320115,7294,43,NA,NA
"Alabama",2020-03-22,"01",157,26,3,5.05624580534831,7294,43,NA,NA
"Alabama",2020-03-23,"01",196,39,4,5.27811465923052,7294,43,NA,NA
"Alabama",2020-03-24,"01",242,46,5,5.48893772615669,7294,43,NA,NA
"Alabama",2020-03-25,"01",386,144,6,5.95583736946483,7294,43,NA,NA
"Alabama",2020-03-26,"01",538,152,7,6.28785856016178,7294,43,4.30548573231292,26.6686800410175
"Alabama",2020-03-27,"01",639,101,8,6.45990445437753,7294,43,4.21903698302897,28.1966771906801
"Alabama",2020-03-28,"01",720,81,9,6.5792512120101,7294,43,4.21555354576043,27.6125594438733
"Alabama",2020-03-29,"01",830,110,10,6.72142570079064,7294,43,4.35653315927389,25.052239933214
"Alabama",2020-03-30,"01",947,117,11,6.85329909318608,7294,43,4.64502961213877,21.1273336271004
"Alabama",2020-03-31,"01",999,52,12,6.90675477864855,7294,43,5.17324763623008,15.1612662143317
"Alabama",2020-04-01,"01",1106,107,13,7.00850518208228,7294,43,5.49896828465117,11.8917442695697
"Alabama",2020-04-02,"01",1270,164,14,7.14677217945264,7294,43,5.59124315273886,11.0872864043842
"Alabama",2020-04-03,"01",1535,265,15,7.3362856600213,7294,43,5.53161237649003,11.7035799651921
"Alabama",2020-04-04,"01",1633,98,16,7.39817409297047,7294,43,5.55049294662235,11.5579846821929
"Alabama",2020-04-05,"01",1841,208,17,7.51806418123308,7294,43,5.51437926715156,11.803265609728
"Alabama",2020-04-06,"01",2006,165,18,7.60389796852188,7294,43,5.47302049821891,12.0069624337122
"Alabama",2020-04-07,"01",2197,191,19,7.69484807238461,7294,43,5.58375889366246,11.2680670366331
"Alabama",2020-04-08,"01",2499,302,20,7.82364593083495,7294,43,5.70992011130181,10.5481069800893
"Alabama",2020-04-09,"01",2838,339,21,7.95085485771999,7294,43,5.77204464911309,10.255125571345
"Alabama",2020-04-10,"01",3008,170,22,8.00903068506973,7294,43,5.73407072910106,10.421068184231
"Alabama",2020-04-11,"01",3262,254,23,8.09009578318096,7294,43,5.82551462251022,9.93702508669544
"Alabama",2020-04-12,"01",3583,321,24,8.18395571730495,7294,43,5.87100693551277,9.70019079348822
"Alabama",2020-04-13,"01",3805,222,25,8.24407127029579,7294,43,6.02929811572159,8.95546461476613
"Alabama",2020-04-14,"01",3953,148,26,8.28223006329669,7294,43,6.32792862039484,7.63253662418582
"Alabama",2020-04-15,"01",4241,288,27,8.35255436947459,7294,43,6.52570801047819,6.805259924402
"Alabama",2020-04-16,"01",4404,163,28,8.39026849784257,7294,43,6.64415005797938,6.31037484606262
"Alabama",2020-04-17,"01",4572,168,29,8.4277060249147,7294,43,6.85718224583585,5.47835494805456
"Alabama",2020-04-18,"01",4723,151,30,8.46019946989612,7294,43,7.07696011464486,4.65728286270441
"Alabama",2020-04-19,"01",4903,180,31,8.49760254165123,7294,43,7.18754889406206,4.25601529537616
"Alabama",2020-04-20,"01",5078,175,32,8.53267276226462,7294,43,7.2694152832626,3.96912647610952
"Alabama",2020-04-21,"01",5327,249,33,8.580543506917,7294,43,7.35021481980739,3.70954449252814
"Alabama",2020-04-22,"01",5610,283,34,8.63230599851674,7294,43,7.28046827491955,3.94378842284152
"Alabama",2020-04-23,"01",5832,222,35,8.67111527368849,7294,43,7.22044163246024,4.13350631724429
"Alabama",2020-04-24,"01",6026,194,36,8.70383871969025,7294,43,7.19475322321783,4.20563017753231
"Alabama",2020-04-25,"01",6213,187,37,8.73439915006369,7294,43,7.2334975920687,4.08319109592906
"Alabama",2020-04-26,"01",6421,208,38,8.76732914779405,7294,43,7.30629848192172,3.86861844305421
"Alabama",2020-04-27,"01",6539,118,39,8.78553952756128,7294,43,7.4771724560668,3.38685084593806
"Alabama",2020-04-28,"01",6750,211,40,8.81729778386658,7294,43,7.61059548587377,3.02612247106743
"Alabama",2020-04-29,"01",6925,175,41,8.84289333105554,7294,43,7.68359749902598,2.83354527839776
"Alabama",2020-04-30,"01",7068,143,42,8.86333283343959,7294,43,7.74951384789348,2.66228335465809
"Alabama",2020-05-01,"01",7294,226,43,8.89480737136862,7294,43,7.77139153687828,2.60923513821479
"Alaska",2020-03-28,"02",102,17,1,4.62497281328427,362,35,NA,NA
"Alaska",2020-03-29,"02",114,12,2,4.7361984483945,362,35,NA,NA
"Alaska",2020-03-30,"02",119,5,3,4.77912349311153,362,35,NA,NA
"Alaska",2020-03-31,"02",133,14,4,4.89034912822175,362,35,NA,NA
"Alaska",2020-04-01,"02",143,10,5,4.96284463025991,362,35,NA,NA
"Alaska",2020-04-02,"02",146,3,6,4.98360662170834,362,35,NA,NA
"Alaska",2020-04-03,"02",156,10,7,5.04985600724954,362,35,4.58196629665114,6.97566809168522
"Alaska",2020-04-04,"02",169,13,8,5.12989871492307,362,35,4.60887112745475,6.48508329052976
"Alaska",2020-04-05,"02",183,14,9,5.20948615284142,362,35,4.60276670770609,6.6328518913641
"Alaska",2020-04-06,"02",189,6,10,5.24174701505964,362,35,4.64338469602909,6.04917428175512
"Alaska",2020-04-07,"02",211,22,11,5.35185813347607,362,35,4.60619919880457,6.58196943551066
"Alaska",2020-04-08,"02",224,13,12,5.41164605185504,362,35,4.55402347147089,7.14275301082049
"Alaska",2020-04-09,"02",233,9,13,5.4510384535657,362,35,4.58171364933612,6.81933569088238
"Alaska",2020-04-10,"02",244,11,14,5.4971682252932,362,35,4.63815846875567,6.26718631912264
"Alaska",2020-04-11,"02",255,11,15,5.54126354515843,362,35,4.69830611781803,5.73341041967061
"Alaska",2020-04-12,"02",270,15,16,5.59842195899838,362,35,4.72949720577063,5.47984938792529
"Alaska",2020-04-13,"02",275,5,17,5.61677109766657,362,35,4.86619459591931,4.49469928018185
"Alaska",2020-04-14,"02",283,8,18,5.64544689764324,362,35,4.92982862613034,4.05043414025542
"Alaska",2020-04-15,"02",291,8,19,5.67332326717149,362,35,4.98110801334209,3.71042620723428
"Alaska",2020-04-16,"02",298,7,20,5.6970934865054,362,35,5.05686825308991,3.25328630824146
"Alaska",2020-04-17,"02",307,9,21,5.7268477475872,362,35,5.12160753680098,2.89517082787607
"Alaska",2020-04-18,"02",312,5,22,5.74300318780948,362,35,5.19279652306888,2.51979848263127
"Alaska",2020-04-19,"02",317,5,23,5.75890177387728,362,35,5.212320287337,2.41081817635831
"Alaska",2020-04-20,"02",319,2,24,5.76519110278484,362,35,5.28346228287735,2.05821189335885
"Alaska",2020-04-21,"02",327,8,25,5.78996017089725,362,35,5.3292058430698,1.85057132152232
