Date,State,Positive,Negative,Pending,HospitalizedCurrently,HospitalizedCumulative,InICUcurrently,InICUcumulative,OnVentilatorCurrently,OnVentilatorCumulative,Recovered,Deaths,DataQualityGrade,LastUpdateET
20200516,AK,392,"32,889",,10,,,,,,344,10,B,5/16/2020 00:00
20200516,AL,"11,523","141,971",,,"1,387",,501,,295,,485,B,5/16/2020 00:00
20200516,AR,"4,578","77,066",,65,520,,,10,101,3472,98,A,5/15/2020 16:20
20200516,AS,0,105,,,,,,,,,0,C,05-10-20 00:00
20200516,AZ,"13,631","133,157",,791,"1,683",344,,210,,3357,679,A+,5/16/2020 00:00
20200516,CA,"76,793","1,102,333",,"4,424",,"1,313",,,,,3204,B,5/16/2020 00:00
20200516,CO,"21,232","100,608",,671,"3,842",,,,,3312,1150,A,5/16/2020 00:00
20200516,CT,"36,703","128,052",,994,"10,946",,,,,6264,3339,B,5/15/2020 20:15
20200516,DC,"7,042","28,490",,382,,,,79,,998,375,A,5/15/2020 00:00
20200516,DE,"7,547","32,211",,250,,,,,,3367,286,B,5/15/2020 18:00
20200516,FL,"44,811","585,236","1,676",472,"8,393",232,,,,,2040,A+,5/16/2020 10:02
20200516,GA,"37,147","283,922",,"1,005","6,735",,1554,,,,1592,A+,5/16/2020 13:00
20200516,GU,154,"4,365",,,,,,,,126,5,C,5/16/2020 04:30
20200516,HI,638,"40,245",,,81,,,,,565,17,B,5/15/2020 18:00
20200516,IA,"14,328","81,972",,387,,128,,83,,6927,346,A+,5/15/2020 00:00
20200516,ID,"2,389","33,299",,,213,,89,,,1588,73,B,5/15/2020 19:00
20200516,IL,"92,457","469,192",,"4,306",,"1,135",,653,,,4129,A,5/16/2020 00:00
20200516,IN,"27,280","144,078",,"1,274","4,389",426,990,199,,,1741,A+,5/15/2020 23:59
20200516,KS,"7,886","53,706",,,724,,246,,112,443,172,A,5/15/2020 10:00
20200516,KY,"7,444","120,290",,381,"1,896",218,797,,,2739,332,A+,5/15/2020 17:00
20200516,LA,"34,117","225,625",,"1,028",,,,123,,22608,2479,B,5/16/2020 13:00
20200516,MA,"84,933","363,156",,"2,692","8,456",747,,,,,5705,A+,5/16/2020 10:00
20200516,MD,"37,968","152,207",,"1,500","6,755",598,,,,2806,1957,,5/16/2020 10:00
20200516,ME,"1,648","22,092",,37,214,19,,10,,1012,70,B,5/16/2020 12:00
20200516,MI,"50,504","307,417",,"1,256",,532,,440,,28234,4880,A+,5/16/2020 11:00
20200516,MN,"14,969","128,312",,493,"2,039",225,700,,,9571,709,A+,5/15/2020 17:00
20200516,MO,"10,675","128,665",,775,,,,116,,,589,B,5/16/2020 15:00
