"CountryCode","geoId","Country","Date","Rt","Rt.lo.05","Rt.hi.95"
"DZA","DZ","Algeria",2020-03-31,3.66376906822885,2.52632733966657,4.97438848461645
"DZA","DZ","Algeria",2020-04-01,3.80590659963013,2.79959317437556,4.93929239987727
"DZA","DZ","Algeria",2020-04-02,4.9885404160957,3.98644758455628,6.08353576297071
"DZA","DZ","Algeria",2020-04-03,4.44491973267556,3.64581098781862,5.3096185381549
"DZA","DZ","Algeria",2020-04-04,3.86305309486629,3.25034495258021,4.51966142312735
"DZA","DZ","Algeria",2020-04-05,3.13927545909111,2.67952115783363,3.62926540345275
"DZA","DZ","Algeria",2020-04-06,2.50024557476097,2.15081241350608,2.87153770162894
"DZA","DZ","Algeria",2020-04-07,1.99923665137364,1.72585544010998,2.28932582968192
"DZA","DZ","Algeria",2020-04-08,1.42798884690738,1.22054597963857,1.64895613585362
"DZA","DZ","Algeria",2020-04-09,1.33705856834872,1.15088288978131,1.53483458951914
"DZA","DZ","Algeria",2020-04-10,1.18064233497192,1.01376378689971,1.35808664025609
"DZA","DZ","Algeria",2020-04-11,1.0841099171203,0.929095851573784,1.24906047549683
"DZA","DZ","Algeria",2020-04-12,1.01776547626812,0.870506562671664,1.17458397636813
"DZA","DZ","Algeria",2020-04-13,0.997762077756002,0.853397424970919,1.15149843071631
"DZA","DZ","Algeria",2020-04-14,0.99967990633252,0.855611395248751,1.15306120070779
"ARG","AR","Argentina",2020-04-05,2.18361065711903,1.47827846369225,3.00151610211812
"ARG","AR","Argentina",2020-04-06,1.63548388310391,1.10720315191084,2.24807989184652
"ARG","AR","Argentina",2020-04-07,1.7984922355716,1.28660272350312,2.38076349724864
"ARG","AR","Argentina",2020-04-08,1.54292732070083,1.09661569027791,2.05177164057508
"ARG","AR","Argentina",2020-04-09,1.67518153444504,1.2322495749444,2.17404479193033
"ARG","AR","Argentina",2020-04-10,1.78261027357301,1.34568087264925,2.27014246196249
"ARG","AR","Argentina",2020-04-11,1.60100168820234,1.20858573566659,2.03886512264787
"ARG","AR","Argentina",2020-04-12,1.52996195725197,1.16745487247121,1.93287375564011
"ARG","AR","Argentina",2020-04-13,1.34541450040013,1.02309581400962,1.70410905750374
