"CountryCode","geoId","Country","Date","Cases","Cases_daily","time","Cases_log","Cases_sum","n","coef.intercept","Exp_rate"
"AFG","AF","Afghanistan",2020-03-27,110,16,1,4.70048036579242,1531,31,NA,NA
"AFG","AF","Afghanistan",2020-03-28,110,0,2,4.70048036579242,1531,31,NA,NA
"AFG","AF","Afghanistan",2020-03-29,120,10,3,4.78749174278205,1531,31,NA,NA
"AFG","AF","Afghanistan",2020-03-30,170,50,4,5.13579843705026,1531,31,NA,NA
"AFG","AF","Afghanistan",2020-03-31,174,4,5,5.15905529921453,1531,31,NA,NA
"AFG","AF","Afghanistan",2020-04-01,237,63,6,5.46806014113513,1531,31,NA,NA
"AFG","AF","Afghanistan",2020-04-02,273,36,7,5.60947179518496,1531,31,4.41816296452232,16.5489192689126
"AFG","AF","Afghanistan",2020-04-03,281,8,8,5.63835466933375,1531,31,4.35877236444282,17.106588283981
"AFG","AF","Afghanistan",2020-04-04,299,18,9,5.70044357339069,1531,31,4.45815699707806,14.9799444727261
"AFG","AF","Afghanistan",2020-04-05,349,50,10,5.85507192220243,1531,31,4.65674223664268,12.1817554714551
"AFG","AF","Afghanistan",2020-04-06,367,18,11,5.90536184805457,1531,31,4.73256989639931,11.0854106673587
"AFG","AF","Afghanistan",2020-04-07,423,56,12,6.04737217904628,1531,31,4.92780868793997,9.09440525836194
"AFG","AF","Afghanistan",2020-04-08,444,21,13,6.09582456243222,1531,31,4.94955308000971,8.86432712796699
"AFG","AF","Afghanistan",2020-04-09,484,40,14,6.18208490671663,1531,31,4.89075972238838,9.33661766812713
"AFG","AF","Afghanistan",2020-04-10,521,37,15,6.25575004175337,1531,31,4.93009782401627,8.96574317319322
"AFG","AF","Afghanistan",2020-04-11,555,34,16,6.31896811374643,1531,31,5.06030086891814,7.95420603464278
"AFG","AF","Afghanistan",2020-04-12,607,52,17,6.4085287910595,1531,31,5.06710383153317,7.90220777762942
"AFG","AF","Afghanistan",2020-04-13,665,58,18,6.49978704065585,1531,31,5.12286495731946,7.56977231826102
"AFG","AF","Afghanistan",2020-04-14,714,49,19,6.57088296233958,1531,31,5.06834193586814,7.90485077466664
"AFG","AF","Afghanistan",2020-04-15,784,70,20,6.66440902035041,1531,31,5.04338116620618,8.06448967493995
"AFG","AF","Afghanistan",2020-04-16,840,56,21,6.73340189183736,1531,31,5.02340942220178,8.16496976692863
"AFG","AF","Afghanistan",2020-04-17,906,66,22,6.80903930604298,1531,31,5.02189339640964,8.15922056478542
"AFG","AF","Afghanistan",2020-04-18,933,27,23,6.83840520084734,1531,31,5.16731296642217,7.39518817726986
"AFG","AF","Afghanistan",2020-04-19,996,63,24,6.9037472575846,1531,31,5.29842953697327,6.75555504819405
"AFG","AF","Afghanistan",2020-04-20,1026,30,25,6.93342302573071,1531,31,5.46587982994975,5.96892847732774
"AFG","AF","Afghanistan",2020-04-21,1092,66,26,6.99576615630485,1531,31,5.61678107176374,5.31722009711311
"AFG","AF","Afghanistan",2020-04-22,1176,84,27,7.06987412845857,1531,31,5.63090393645456,5.27817226882412
"AFG","AF","Afghanistan",2020-04-23,1279,103,28,7.15383380157884,1531,31,5.53867319615837,5.67621514482247
"AFG","AF","Afghanistan",2020-04-24,1351,72,29,7.2086003379602,1531,31,5.39239821358688,6.24003429305327
"AFG","AF","Afghanistan",2020-04-25,1463,112,30,7.28824440102012,1531,31,5.28365309048157,6.6496917858555
"AFG","AF","Afghanistan",2020-04-26,1531,68,31,7.33367639565768,1531,31,5.21604551224564,6.87301003111813
"ALB","AL","Albania",2020-03-23,104,15,1,4.64439089914137,726,35,NA,NA
"ALB","AL","Albania",2020-03-24,123,19,2,4.81218435537242,726,35,NA,NA
"ALB","AL","Albania",2020-03-25,146,23,3,4.98360662170834,726,35,NA,NA
"ALB","AL","Albania",2020-03-26,174,28,4,5.15905529921453,726,35,NA,NA
"ALB","AL","Albania",2020-03-27,186,12,5,5.2257466737132,726,35,NA,NA
"ALB","AL","Albania",2020-03-28,197,11,6,5.28320372873799,726,35,NA,NA
"ALB","AL","Albania",2020-03-29,212,15,7,5.35658627467201,726,35,4.59200127531885,11.859874733314
"ALB","AL","Albania",2020-03-30,223,11,8,5.40717177146012,726,35,4.70124532074803,9.4823927989783
"ALB","AL","Albania",2020-03-31,243,20,9,5.49306144334055,726,35,4.81075375676097,7.69798932266656
"ALB","AL","Albania",2020-04-01,259,16,10,5.55682806169954,726,35,4.8915429259046,6.61398524797088
"ALB","AL","Albania",2020-04-02,277,18,11,5.62401750618734,726,35,4.88422039939752,6.70905832862163
"ALB","AL","Albania",2020-04-03,304,27,12,5.71702770140622,726,35,4.85277392530507,7.09282382598139
"ALB","AL","Albania",2020-04-04,333,29,13,5.80814248998044,726,35,4.81421340386935,7.51905917380109
"ALB","AL","Albania",2020-04-05,361,28,14,5.88887795833288,726,35,4.76393658928485,7.98385819144559
"ALB","AL","Albania",2020-04-06,377,16,15,5.93224518744801,726,35,4.78898176003548,7.73491431922212
"ALB","AL","Albania",2020-04-07,383,6,16,5.94803498918065,726,35,4.87127329829832,7.00688000675479
"ALB","AL","Albania",2020-04-08,400,17,17,5.99146454710798,726,35,5.00002942777419,6.03020855635124
"ALB","AL","Albania",2020-04-09,409,9,18,6.0137151560428,726,35,5.19500283867168,4.69951253218783
"ALB","AL","Albania",2020-04-10,416,7,19,6.03068526026126,726,35,5.38672533209499,3.48757880686529
"ALB","AL","Albania",2020-04-11,433,17,20,6.07073772800249,726,35,5.49159534785882,2.88621293391962
"ALB","AL","Albania",2020-04-12,446,13,21,6.10031895202006,726,35,5.50534116282202,2.81731244468977
"ALB","AL","Albania",2020-04-13,467,21,22,6.1463292576689,726,35,5.45294550012189,3.10576495445935
"ALB","AL","Albania",2020-04-14,475,8,23,6.16331480403464,726,35,5.46635748231188,3.03718809211069
"ALB","AL","Albania",2020-04-15,494,19,24,6.20253551718792,726,35,5.42346432097332,3.24039893088765
"ALB","AL","Albania",2020-04-16,518,24,25,6.24997524225948,726,35,5.36419417019202,3.51593348707184
"ALB","AL","Albania",2020-04-17,539,21,26,6.289715570909,726,35,5.34304656456535,3.61590131684786
"ALB","AL","Albania",2020-04-18,548,9,27,6.30627528694802,726,35,5.35866460201351,3.54036453388896
"ALB","AL","Albania",2020-04-19,562,14,28,6.33150184989369,726,35,5.41225429321612,3.31649570079362
"ALB","AL","Albania",2020-04-20,584,22,29,6.36990098282823,726,35,5.40603945027651,3.33568302314584
"ALB","AL","Albania",2020-04-21,609,25,30,6.4118182677099,726,35,5.43181316269164,3.24816432745753
"ALB","AL","Albania",2020-04-22,634,25,31,6.45204895443723,726,35,5.43041008183984,3.26447223576871
"ALB","AL","Albania",2020-04-23,663,29,32,6.49677499018586,726,35,5.35121161798272,3.5465786093758
"ALB","AL","Albania",2020-04-24,678,15,33,6.5191472879404,726,35,5.2860915294521,3.75467948275173
"ALB","AL","Albania",2020-04-25,712,34,34,6.56807791141198,726,35,5.23959206938282,3.90420541876845
"ALB","AL","Albania",2020-04-26,726,14,35,6.5875500148248,726,35,5.30640009630886,3.68773113177516
"DZA","DZ","Algeria",2020-03-21,139,49,1,4.93447393313069,3382,37,NA,NA
"DZA","DZ","Algeria",2020-03-22,201,62,2,5.30330490805908,3382,37,NA,NA
"DZA","DZ","Algeria",2020-03-23,230,29,3,5.4380793089232,3382,37,NA,NA
"DZA","DZ","Algeria",2020-03-24,264,34,4,5.57594910314632,3382,37,NA,NA
"DZA","DZ","Algeria",2020-03-25,302,38,5,5.71042701737487,3382,37,NA,NA
"DZA","DZ","Algeria",2020-03-26,367,65,6,5.90536184805457,3382,37,NA,NA
"DZA","DZ","Algeria",2020-03-27,409,42,7,6.0137151560428,3382,37,4.8810180025075,16.8363759184964
"DZA","DZ","Algeria",2020-03-28,454,45,8,6.11809719804135,3382,37,5.02265827189633,14.0180761039082
"DZA","DZ","Algeria",2020-03-29,511,57,9,6.2363695902037,3382,37,5.04633092333393,13.5087684724983
"DZA","DZ","Algeria",2020-03-30,584,73,10,6.36990098282823,3382,37,5.07835537999771,13.023129052465
"DZA","DZ","Algeria",2020-03-31,716,132,11,6.57368016696065,3382,37,5.06350966493929,13.3624719730913
"DZA","DZ","Algeria",2020-04-01,847,131,12,6.74170069465205,3382,37,5.03244819390707,13.859822665768
"DZA","DZ","Algeria",2020-04-02,986,139,13,6.89365635460264,3382,37,4.91232388988382,15.0869327344923
"DZA","DZ","Algeria",2020-04-03,1171,185,14,7.06561336359772,3382,37,4.79206908190523,16.1747204903243
"DZA","DZ","Algeria",2020-04-04,1251,80,15,7.13169851046691,3382,37,4.83149379048573,15.7049561070378
"DZA","DZ","Algeria",2020-04-05,1320,69,16,7.18538701558042,3382,37,5.0472589803558,13.8800266221956
"DZA","DZ","Algeria",2020-04-06,1423,103,17,7.26052259808985,3382,37,5.38592305501,11.3783646111023
"DZA","DZ","Algeria",2020-04-07,1468,45,18,7.29165620917446,3382,37,5.74036959809967,8.94061672330129
"DZA","DZ","Algeria",2020-04-08,1572,104,19,7.36010397298915,3382,37,6.03823249839388,7.07233083548569
"DZA","DZ","Algeria",2020-04-09,1666,94,20,7.41818082272679,3382,37,6.26069098350226,5.7885089143777
"DZA","DZ","Algeria",2020-04-10,1761,95,21,7.47363710849621,3382,37,6.280250673252,5.68208851171409
"DZA","DZ","Algeria",2020-04-11,1825,64,22,7.50933526601659,3382,37,6.322425808732,5.44499423454846
"DZA","DZ","Algeria",2020-04-12,1914,89,23,7.5569505720129,3382,37,6.38278724210052,5.13633989628736
"DZA","DZ","Algeria",2020-04-13,1983,69,24,7.5923661285198,3382,37,6.41722839046084,4.95349071204761
"DZA","DZ","Algeria",2020-04-14,2070,87,25,7.63530388625941,3382,37,6.51868811071379,4.49029933897682
"DZA","DZ","Algeria",2020-04-15,2160,90,26,7.67786350067821,3382,37,6.57821652662536,4.23361589958533
"DZA","DZ","Algeria",2020-04-16,2268,108,27,7.72665366484764,3382,37,6.58933620158377,4.19449804508594
"DZA","DZ","Algeria",2020-04-17,2418,150,28,7.79069603117474,3382,37,6.50828678090995,4.53209233322267
"DZA","DZ","Algeria",2020-04-18,2534,116,29,7.83755436088108,3382,37,6.45336456658663,4.74936053750953
"DZA","DZ","Algeria",2020-04-19,2629,95,30,7.87435882472988,3382,37,6.41892047294177,4.86896988703618
"DZA","DZ","Algeria",2020-04-20,2718,89,31,7.90765159471109,3382,37,6.45764865383419,4.71762310532791
"DZA","DZ","Algeria",2020-04-21,2811,93,32,7.94129557090653,3382,37,6.54220011202405,4.4141245141679
"DZA","DZ","Algeria",2020-04-22,2910,99,33,7.97590836016554,3382,37,6.66588077329453,3.99664428302608
"DZA","DZ","Algeria",2020-04-23,3007,97,34,8.00869818298853,3382,37,6.8006237320155,3.56304000066768
"DZA","DZ","Algeria",2020-04-24,3127,120,35,8.04782935745784,3382,37,6.83588749688918,3.45628739893582
"DZA","DZ","Algeria",2020-04-25,3256,129,36,8.08825472712243,3382,37,6.81158119983833,3.5337351598327
"DZA","DZ","Algeria",2020-04-26,3382,126,37,8.12622252945853,3382,37,6.77323819344228,3.64840040702292
"AND","AD","Andorra",2020-03-22,113,25,1,4.72738781871234,738,36,NA,NA
"AND","AD","Andorra",2020-03-23,133,20,2,4.89034912822175,738,36,NA,NA
"AND","AD","Andorra",2020-03-24,164,31,3,5.0998664278242,738,36,NA,NA
"AND","AD","Andorra",2020-03-25,188,24,4,5.23644196282995,738,36,NA,NA
"AND","AD","Andorra",2020-03-26,224,36,5,5.41164605185504,738,36,NA,NA
"AND","AD","Andorra",2020-03-27,267,43,6,5.58724865840025,738,36,NA,NA
"AND","AD","Andorra",2020-03-28,308,41,7,5.73009978297357,738,36,4.56704646480651,16.8346949184698
"AND","AD","Andorra",2020-03-29,334,26,8,5.8111409929767,738,36,4.61424739355916,15.6201750004782
"AND","AD","Andorra",2020-03-30,370,36,9,5.91350300563827,738,36,4.70382922788808,13.9598625887652
"AND","AD","Andorra",2020-03-31,376,6,10,5.92958914338989,738,36,4.83319085376769,11.8108849422241
"AND","AD","Andorra",2020-04-01,390,14,11,5.96614673912369,738,36,5.04088598077965,9.04137948017839
