"CountryCode","geoId","Country","Date","Deaths","Deaths_daily","time","Deaths_log","Deaths_sum","n","coef.intercept","Exp_rate"
"DZA","DZ","Algeria",2020-03-20,11,2,1,2.39789527279837,392,33,NA,NA
"DZA","DZ","Algeria",2020-03-21,15,4,2,2.70805020110221,392,33,NA,NA
"DZA","DZ","Algeria",2020-03-22,17,2,3,2.83321334405622,392,33,NA,NA
"DZA","DZ","Algeria",2020-03-23,17,0,4,2.83321334405622,392,33,NA,NA
"DZA","DZ","Algeria",2020-03-24,19,2,5,2.94443897916644,392,33,NA,NA
"DZA","DZ","Algeria",2020-03-25,21,2,6,3.04452243772342,392,33,NA,NA
"DZA","DZ","Algeria",2020-03-26,25,4,7,3.2188758248682,392,33,2.39044251988699,11.5968277305791
"DZA","DZ","Algeria",2020-03-27,26,1,8,3.25809653802148,392,33,2.50706347663328,9.40276095017497
"DZA","DZ","Algeria",2020-03-28,29,3,9,3.36729582998647,392,33,2.48714003724912,9.73732389793953
"DZA","DZ","Algeria",2020-03-29,31,2,10,3.43398720448515,392,33,2.4418019625234,10.2200335115176
"DZA","DZ","Algeria",2020-03-30,35,4,11,3.55534806148941,392,33,2.47177304350276,9.85741709146659
"DZA","DZ","Algeria",2020-03-31,44,9,12,3.78418963391826,392,33,2.39424041311979,10.956559743895
"DZA","DZ","Algeria",2020-04-01,58,14,13,4.06044301054642,392,33,2.18084087892678,13.4462142154684
"DZA","DZ","Algeria",2020-04-02,86,28,14,4.45434729625351,392,33,1.60989609218082,19.0187466616038
"DZA","DZ","Algeria",2020-04-03,105,19,15,4.65396035015752,392,33,1.15602075821659,22.8778881896674
"DZA","DZ","Algeria",2020-04-04,130,25,16,4.86753445045558,392,33,0.787676011451688,25.6000856342242
"DZA","DZ","Algeria",2020-04-05,152,22,17,5.02388052084628,392,33,0.759912585145686,25.5921583955583
"DZA","DZ","Algeria",2020-04-06,173,21,18,5.15329159449778,392,33,1.11714523494986,23.0263144876441
"DZA","DZ","Algeria",2020-04-07,193,20,19,5.26269018890489,392,33,1.71113517180731,19.1948225080454
"DZA","DZ","Algeria",2020-04-08,205,12,20,5.32300997913841,392,33,2.46779909741993,14.6757316792558
"DZA","DZ","Algeria",2020-04-09,235,30,21,5.45958551414416,392,33,2.81344137427369,12.7379864906577
"DZA","DZ","Algeria",2020-04-10,256,21,22,5.54517744447956,392,33,3.14762818060743,10.9787762618155
"DZA","DZ","Algeria",2020-04-11,275,19,23,5.61677109766657,392,33,3.36967322305128,9.85478127022762
"DZA","DZ","Algeria",2020-04-12,293,18,24,5.68017260901707,392,33,3.55115624487584,8.96775830865141
"DZA","DZ","Algeria",2020-04-13,313,20,25,5.74620319054015,392,33,3.69461940841005,8.29303517209121
"DZA","DZ","Algeria",2020-04-14,326,13,26,5.78689738136671,392,33,3.86906200760998,7.49961687147998
"DZA","DZ","Algeria",2020-04-15,336,10,27,5.8171111599632,392,33,4.21988928179248,6.01946037180361
"DZA","DZ","Algeria",2020-04-16,348,12,28,5.85220247977447,392,33,4.44521933501928,5.10171429581301
"DZA","DZ","Algeria",2020-04-17,364,16,29,5.89715386763674,392,33,4.60453680720721,4.48612864588707
"DZA","DZ","Algeria",2020-04-18,367,3,30,5.90536184805457,392,33,4.80662527011244,3.72419346326234
"DZA","DZ","Algeria",2020-04-19,375,8,31,5.92692602597041,392,33,4.98826784598943,3.06835766907156
"DZA","DZ","Algeria",2020-04-20,384,9,32,5.95064255258773,392,33,5.08530240916591,2.7286593355628
"DZA","DZ","Algeria",2020-04-21,392,8,33,5.97126183979046,392,33,5.1646253139947,2.46108694086414
"ARG","AR","Argentina",2020-03-27,13,4,1,2.56494935746154,147,26,NA,NA
"ARG","AR","Argentina",2020-03-28,18,5,2,2.89037175789616,147,26,NA,NA
"ARG","AR","Argentina",2020-03-29,19,1,3,2.94443897916644,147,26,NA,NA
"ARG","AR","Argentina",2020-03-30,23,4,4,3.13549421592915,147,26,NA,NA
"ARG","AR","Argentina",2020-03-31,27,4,5,3.29583686600433,147,26,NA,NA
