,China,Germany,United Kingdom,United States,
Stayed at home more,69,74,85,82,in %
Washed hands more,74,74,78,79,in %
Applied social distancing,55,64,79,78,in %
Avoided public places like bars and restaurants,55,59,66,70,in %
Gone to the shops less,56,63,75,67,in %
Cancelled plans with family or friends,48,61,66,61,in %
Travelled less,56,50,72,59,in %
Wear protective face masks outside,76,26,12,55,in %
Shopped online more,61,31,41,52,in %
Cleaned your house more,39,26,45,46,in %
Avoided certain shopping times,25,38,39,37,in %
Avoided public transport,62,52,62,37,in %
Used less cash,42,42,61,35,in %
Worked from home,36,25,30,28,in %
Reduced exercise regime,23,20,20,16,in %
I have not made any changes to my lifestyle,1,4,2,2,in %
