Category,Rate,Hotwords
confident,0.2345724424103069,"[('covid_19', 25475), ('support', 23259), ('stay', 17383), ('good', 14983), ('fight', 12633), ('pandemic', 12106), ('safe', 11950), ('ill', 11913), ('love', 11587), ('deliver', 11355), ('great', 11338), ('delivered', 11311), ('officials', 11237), ('copy', 11170), ('signing', 11132), ('work', 11104), ('too:', 11078), ('health', 10622), ('senator', 9946), ('representative', 9767)]"
optimistic,0.3484565790070953,"[('covid_19', 31566), ('pandemic', 29904), ('support', 29090), ('fight', 25775), ('stay', 25177), ('health', 21104), ('good', 19412), ('crisis', 16896), ('safe', 16471), ('work', 16205), ('spread', 15824), ('hope', 13512), ('patients', 13070), ('care', 12499), ('great', 12437), ('lockdown', 12393), ('working', 12121), ('free', 11496), ('social', 10000), ('medical', 9842)]"
anticipating,0.3729747539808381,"[('pandemic', 29063), ('covid_19', 27654), ('support', 25863), ('lockdown', 17499), ('health', 16805), ('fight', 15101), ('crisis', 14760), ('officials', 14198), ('ill', 14012), ('deliver', 13711), ('delivered', 13666), ('copy', 13489), ('signing', 13433), ('too:', 13357), ('spread', 13235), ('stay', 12757), ('senator', 12370), ('representative', 11583), ('testing', 11372), ('china', 11237)]"
empathetic,0.02151053495765199,"[('love', 8040), ('covid_19', 3337), ('safe', 1825), ('stay', 1809), ('happy', 1703), ('great', 1630), ('work', 1601), ('family', 1546), ('god', 1477), ('doctors', 1465), ('support', 1449), ('good', 1371), ('working', 1311), ('care', 1220), ('birthday', 1134), ('hope', 1120), ('rock', 1100), ('fight', 1098), ('amazing', 1013), ('roll', 997)]"
fearful,0.23807157291042194,"[('pandemic', 35218), ('deaths', 19427), ('health', 14605), ('death', 14123), ('crisis', 13746), ('outbreak', 13583), ('covid_19', 12552), ('stay', 12038), ('lockdown', 11767), ('spread', 11368), ('coronavirus:', 10566), ('risk', 8997), ('china', 8985), ('die', 8292), ('government', 8273), ('fear', 7750), ('country', 7497), ('hospital', 7465), ('dont', 7323), ('number', 7195)]"
sad,0.2884415212413109,"[('deaths', 24549), ('pandemic', 19912), ('death', 18845), ('covid_19', 18733), ('positive', 17955), ('health', 16754), ('died', 14555), ('lockdown', 13580), ('crisis', 13462), ('patients', 12640), ('hospital', 12393), ('die', 12031), ('stay', 11939), ('tested', 11412), ('country', 11156), ('symptoms', 11082), ('work', 10609), ('days', 10144), ('total', 9926), ('china', 9842)]"
angry,0.29302537437018,"[('china', 21099), ('covid_19', 17525), ('pandemic', 16853), ('dont', 15617), ('deaths', 14265), ('government', 14245), ('lockdown', 13087), ('president', 12431), ('shit', 11437), ('death', 10672), ('country', 10603), ('response', 10014), ('health', 9916), ('media', 9851), ('die', 9832), ('crisis', 9750), ('spread', 9713), ('work', 9589), ('stay', 8717), ('days', 8475)]"
disgusting,0.2988207358896056,"[('china', 21059), ('covid_19', 18974), ('pandemic', 18414), ('dont', 16128), ('deaths', 15968), ('government', 14677), ('president', 13082), ('lockdown', 12402), ('death', 11596), ('shit', 11323), ('country', 11210), ('die', 11022), ('health', 10522), ('media', 10413), ('crisis', 10209), ('work', 9931), ('spread', 9852), ('response', 9044), ('stay', 8947), ('patients', 8707)]"
pessimistic,0.04315176881790277,"[('pandemic', 3761), ('sad', 3421), ('crisis', 2849), ('die', 2811), ('covid_19', 2713), ('health', 2496), ('died', 2130), ('death', 1987), ('work', 1902), ('deaths', 1875), ('country', 1808), ('dont', 1759), ('life', 1687), ('economy', 1515), ('hospital', 1429), ('sick', 1428), ('dies', 1409), ('lockdown', 1403), ('dying', 1346), ('stay', 1345)]"
surprising,0.016165184629809055,"[('positive', 1162), ('covid_19', 1042), ('test', 1033), ('china', 882), ('wow', 736), ('deaths', 673), ('surprised', 609), ('death', 541), ('lockdown', 535), ('days', 527), ('tested', 485), ('confirmed', 475), ('shocking', 440), ('reported', 412), ('thought', 405), ('total', 391), ('patients', 386), ('dont', 386), ('understand', 377), ('number', 372)]"
trusting,0.015265162246643699,"[('fight', 1930), ('safe', 1781), ('stay', 1767), ('covid_19', 1628), ('god', 1367), ('work', 1260), ('hope', 1139), ('times', 1119), ('great', 1107), ('good', 1099), ('health', 1088), ('support', 1075), ('crisis', 998), ('pandemic', 997), ('business', 801), ('country', 728), ('working', 728), ('care', 701), ('team', 693), ('save', 684)]"
