Category,Hotwords,Rate
anger,0.102,"[('good', 188), ('work', 184), ('spread', 171), ('hand', 163), ('health', 160), ('test', 153), ('dont', 128), ('case', 127), ('stay', 125), ('great', 118), ('hope', 118), ('outbreak', 117), ('update', 104), ('safe', 100), ('wash', 93), ('news', 91), ('love', 90), ('fight', 88), ('protect', 84), ('flu', 80)]"
anticipation,0.0,[]
disgust,0.2624,"[('test', 544), ('spread', 490), ('dont', 478), ('case', 443), ('quarantine', 430), ('market', 392), ('death', 389), ('outbreak', 347), ('china', 344), ('flu', 341), ('country', 339), ('cancel', 329), ('italy', 323), ('oil', 300), ('health', 296), ('bad', 288), ('hand', 278), ('stock', 268), ('price', 263), ('work', 260)]"
fear,0.0,[]
confident,0.079,"[('case', 345), ('flu', 252), ('fear', 239), ('death', 231), ('test', 224), ('panic', 194), ('spread', 174), ('health', 147), ('confirm', 138), ('italy', 119), ('market', 117), ('rate', 114), ('dont', 114), ('oil', 113), ('report', 112), ('number', 110), ('outbreak', 105), ('news', 96), ('china', 94), ('stock', 93)]"
empathetic,0.0933,"[('flu', 256), ('die', 248), ('cancel', 225), ('death', 221), ('bad', 199), ('market', 177), ('dont', 164), ('case', 153), ('oil', 144), ('spread', 143), ('sick', 141), ('test', 138), ('stock', 136), ('work', 136), ('school', 133), ('price', 133), ('rate', 124), ('health', 113), ('fear', 109), ('panic', 104)]"
optimism,0.3021,"[('test', 636), ('case', 626), ('spread', 539), ('dont', 515), ('death', 484), ('quarantine', 440), ('market', 423), ('flu', 400), ('outbreak', 398), ('country', 381), ('china', 367), ('health', 363), ('italy', 354), ('cancel', 343), ('oil', 323), ('bad', 310), ('die', 308), ('stock', 307), ('hand', 304), ('work', 297)]"
pessimism,0.0054,"[('test', 32), ('case', 18), ('confirm', 14), ('positive', 10), ('wait', 10), ('city', 10), ('close', 9), ('played', 8), ('door', 7), ('movie', 7), ('work', 7), ('story', 7), ('news', 7), ('fear', 7), ('spread', 7), ('late', 6), ('travel', 6), ('watch', 6), ('country', 6), ('break', 5)]"
sadness,0.1523,"[('case', 272), ('test', 261), ('work', 232), ('good', 211), ('hand', 201), ('spread', 200), ('health', 199), ('update', 188), ('news', 167), ('dont', 143), ('outbreak', 136), ('stay', 133), ('patient', 126), ('great', 119), ('live', 118), ('hope', 116), ('today', 111), ('confirm', 106), ('positive', 104), ('wash', 102)]"
surprise,0.0023,"[('happy', 23), ('love', 19), ('holi', 12), ('la', 11), ('hope', 10), ('monday', 5), ('great', 5), ('safe', 5), ('good', 4), ('birthday', 4), ('laugh', 4), ('hand', 4), ('life', 4), ('guy', 4), ('jack', 4), ('friend', 4), ('stay', 4), ('celebrate', 3), ('boy', 3), ('nice', 3)]"
trust,0.0011,"[('sad', 14), ('work', 5), ('spread', 5), ('quarantine', 4), ('sick', 3), ('china', 3), ('ive', 3), ('come', 3), ('cancel', 3), ('parang', 2), ('sadness', 2), ('everyday', 2), ('tire', 2), ('think', 2), ('location', 2), ('sleep', 2), ('day', 2), ('iranian', 2), ('tsk', 2), ('mullah', 2)]"
