Category,Rate,Hotwords
Anger,0.2726,"[('test', 411), ('spread', 318), ('dont', 283), ('case', 228), ('death', 193), ('close', 179), ('outbreak', 171), ('country', 170), ('news', 161), ('die', 152), ('fuck', 152), ('government', 141), ('pandemic', 138), ('school', 133), ('china', 128), ('flu', 127), ('uk', 127), ('quarantine', 125), ('work', 125), ('travel', 124)]"
Anticipation,0.0,[]
Disgust,0.0562,"[('test', 122), ('case', 105), ('death', 81), ('panic', 80), ('flu', 74), ('symptom', 70), ('spread', 66), ('infect', 56), ('news', 49), ('dont', 45), ('report', 44), ('hospital', 39), ('pandemic', 39), ('uk', 39), ('health', 37), ('fear', 37), ('die', 36), ('country', 35), ('positive', 35), ('week', 34)]"
Fear,0.0,[]
Confident,0.0065,"[('test', 21), ('case', 12), ('confirm', 10), ('positive', 9), ('watch', 8), ('season', 7), ('italy', 6), ('country', 5), ('week', 5), ('report', 5), ('today', 5), ('wait', 4), ('update', 4), ('china', 4), ('hit', 4), ('game', 4), ('november', 4), ('plan', 4), ('city', 3), ('late', 3)]"
Empathetic,0.0022,"[('sad', 13), ('feel', 10), ('pretty', 4), ('dont', 4), ('concern', 3), ('cancel', 3), ('die', 3), ('breath', 2), ('disease', 2), ('start', 2), ('folk', 2), ('school', 2), ('death', 2), ('bad', 2), ('short', 2), ('life', 2), ('bro', 2), ('anxiety', 2), ('travel', 2), ('medication', 2)]"
Optimism,0.0038,"[('love', 30), ('god', 6), ('hope', 6), ('happy', 5), ('stay', 5), ('great', 4), ('live', 4), ('friend', 4), ('bless', 4), ('beautiful', 4), ('favorite', 4), ('time', 3), ('spread', 3), ('life', 3), ('post', 3), ('work', 3), ('song', 3), ('safe', 3), ('visit', 2), ('hop', 2)]"
Pessimism,0.2406,"[('test', 349), ('spread', 283), ('dont', 263), ('close', 169), ('country', 163), ('case', 152), ('fuck', 151), ('news', 143), ('death', 139), ('government', 138), ('outbreak', 135), ('pandemic', 130), ('school', 126), ('die', 124), ('kill', 122), ('travel', 122), ('work', 119), ('quarantine', 118), ('china', 117), ('uk', 117)]"
Sadness,0.138,"[('stay', 142), ('work', 123), ('good', 118), ('safe', 103), ('spread', 101), ('dont', 97), ('health', 92), ('love', 89), ('fight', 88), ('great', 83), ('social', 82), ('pandemic', 80), ('test', 73), ('care', 72), ('hope', 70), ('distance', 70), ('life', 69), ('god', 67), ('update', 66), ('curve', 63)]"
Surprise,0.194,"[('stay', 148), ('test', 143), ('work', 131), ('update', 128), ('good', 125), ('spread', 123), ('case', 122), ('safe', 105), ('pandemic', 103), ('health', 98), ('social', 96), ('love', 95), ('dont', 95), ('fight', 94), ('great', 91), ('news', 84), ('positive', 84), ('distance', 83), ('life', 82), ('hand', 77)]"
Trust,0.086,"[('die', 113), ('dont', 113), ('test', 99), ('flu', 92), ('cancel', 80), ('close', 75), ('bad', 75), ('death', 75), ('work', 73), ('sick', 65), ('school', 62), ('feel', 59), ('hospital', 59), ('week', 52), ('pandemic', 51), ('symptom', 49), ('country', 47), ('case', 46), ('start', 46), ('spread', 45)]"
