Category,Rate,Hotwords
anger,0.0462,"[('death', 777), ('case', 716), ('test', 549), ('hospital', 440), ('die', 378), ('pandemic', 298), ('health', 280), ('symptom', 268), ('patient', 255), ('flu', 255), ('number', 249), ('report', 248), ('fear', 228), ('confirm', 203), ('dont', 189), ('crisis', 185), ('positive', 180), ('doctor', 174), ('bad', 173), ('total', 172)]"
anticipation,0.2273,"[('test', 1488), ('death', 1365), ('dont', 1279), ('china', 1091), ('spread', 1048), ('case', 1016), ('pandemic', 1013), ('government', 997), ('work', 928), ('country', 899), ('die', 871), ('crisis', 805), ('lockdown', 796), ('news', 754), ('hospital', 747), ('bad', 660), ('health', 638), ('worker', 638), ('fight', 635), ('outbreak', 622)]"
disgust,0.0041,"[('love', 139), ('happy', 57), ('god', 36), ('birthday', 32), ('bless', 26), ('beautiful', 25), ('stay', 25), ('good', 23), ('family', 22), ('work', 22), ('hope', 21), ('today', 21), ('amaze', 20), ('life', 19), ('friend', 18), ('grateful', 18), ('great', 17), ('safe', 16), ('heart', 16), ('song', 15)]"
fear,0.005,"[('test', 106), ('case', 52), ('positive', 27), ('china', 26), ('confirm', 22), ('wait', 21), ('watch', 20), ('report', 18), ('news', 18), ('thursday', 16), ('number', 16), ('italy', 15), ('cure', 15), ('vaccine', 15), ('live', 14), ('start', 14), ('ready', 13), ('south', 12), ('county', 12), ('catch', 12)]"
confident,0.0,[]
empathetic,0.1625,"[('stay', 1287), ('work', 1168), ('pandemic', 1090), ('fight', 975), ('support', 895), ('health', 757), ('safe', 752), ('crisis', 703), ('good', 682), ('spread', 648), ('update', 620), ('test', 603), ('today', 603), ('life', 576), ('great', 537), ('care', 521), ('love', 512), ('dont', 506), ('relief', 499), ('free', 493)]"
optimism,0.2147,"[('stay', 1302), ('work', 1285), ('pandemic', 1233), ('fight', 1069), ('test', 1009), ('update', 934), ('case', 910), ('support', 878), ('health', 834), ('safe', 741), ('crisis', 735), ('good', 718), ('today', 710), ('spread', 702), ('news', 699), ('life', 604), ('patient', 580), ('free', 572), ('great', 558), ('hospital', 552)]"
pessimism,0.0811,"[('die', 903), ('death', 822), ('dont', 535), ('hospital', 529), ('test', 508), ('work', 486), ('bad', 470), ('case', 365), ('pandemic', 347), ('crisis', 338), ('patient', 325), ('health', 323), ('life', 291), ('sick', 262), ('stay', 257), ('country', 257), ('symptom', 256), ('number', 249), ('flu', 243), ('family', 236)]"
sadness,0.0,[]
surprise,0.2567,"[('death', 1841), ('test', 1791), ('case', 1575), ('dont', 1371), ('china', 1169), ('die', 1130), ('pandemic', 1126), ('spread', 1082), ('work', 1016), ('government', 1008), ('hospital', 962), ('country', 948), ('news', 880), ('crisis', 849), ('lockdown', 801), ('health', 759), ('bad', 711), ('number', 710), ('patient', 698), ('outbreak', 688)]"
trust,0.0024,"[('sad', 79), ('die', 27), ('feel', 26), ('dont', 23), ('work', 21), ('life', 19), ('death', 14), ('bad', 13), ('friend', 12), ('country', 12), ('stress', 12), ('worry', 11), ('test', 11), ('struggle', 11), ('month', 11), ('lose', 11), ('ive', 10), ('patient', 10), ('family', 10), ('today', 10)]"
