Category,Rate,Hotwords
anger,0.049,"[('test', 143), ('case', 132), ('death', 92), ('panic', 72), ('pandemic', 62), ('health', 61), ('symptom', 58), ('dont', 55), ('bad', 53), ('work', 53), ('report', 51), ('hospital', 51), ('fear', 50), ('flu', 49), ('china', 48), ('number', 46), ('confirm', 45), ('spread', 45), ('outbreak', 44), ('news', 44)]"
anticipation,0.2337,"[('test', 361), ('dont', 341), ('spread', 298), ('china', 258), ('government', 242), ('close', 240), ('pandemic', 236), ('work', 227), ('call', 218), ('country', 210), ('chinese', 197), ('death', 195), ('fuck', 191), ('outbreak', 188), ('news', 183), ('case', 178), ('quarantine', 150), ('cancel', 145), ('die', 144), ('bad', 142)]"
disgust,0.0035,"[('love', 35), ('happy', 8), ('today', 7), ('friend', 7), ('hope', 7), ('life', 7), ('stay', 7), ('work', 6), ('beautiful', 6), ('enjoy', 6), ('wonderful', 5), ('amaze', 5), ('kid', 5), ('safe', 5), ('god', 5), ('play', 4), ('child', 4), ('post', 4), ('family', 4), ('birthday', 4)]"
fear,0.0055,"[('test', 18), ('case', 15), ('confirm', 10), ('china', 8), ('report', 7), ('news', 6), ('story', 5), ('live', 5), ('south', 5), ('update', 5), ('county', 4), ('work', 4), ('catch', 4), ('cure', 4), ('india', 4), ('record', 4), ('number', 4), ('korea', 4), ('good', 4), ('country', 4)]"
confident,0.0,[]
empathetic,0.1534,"[('work', 262), ('stay', 235), ('support', 196), ('update', 170), ('pandemic', 161), ('test', 160), ('good', 156), ('health', 148), ('safe', 140), ('business', 135), ('spread', 130), ('outbreak', 123), ('crisis', 120), ('hope', 116), ('fight', 116), ('time', 115), ('dont', 114), ('life', 114), ('love', 113), ('share', 113)]"
optimism,0.2041,"[('work', 281), ('update', 251), ('test', 250), ('stay', 223), ('support', 196), ('pandemic', 177), ('good', 163), ('health', 154), ('news', 151), ('business', 146), ('safe', 137), ('outbreak', 136), ('today', 134), ('case', 132), ('fight', 132), ('spread', 129), ('response', 127), ('share', 123), ('crisis', 122), ('time', 119)]"
pessimism,0.0836,"[('work', 128), ('die', 127), ('bad', 117), ('cancel', 116), ('dont', 116), ('close', 105), ('death', 104), ('test', 101), ('school', 92), ('feel', 76), ('life', 71), ('pandemic', 67), ('day', 63), ('case', 63), ('government', 59), ('health', 57), ('month', 56), ('outbreak', 56), ('crisis', 55), ('travel', 55)]"
sadness,0.0,[]
surprise,0.2655,"[('test', 445), ('dont', 358), ('spread', 302), ('pandemic', 284), ('china', 276), ('case', 275), ('close', 256), ('work', 250), ('government', 250), ('death', 244), ('country', 225), ('call', 224), ('chinese', 206), ('news', 204), ('outbreak', 199), ('fuck', 192), ('die', 182), ('bad', 164), ('health', 160), ('cancel', 158)]"
trust,0.0017,"[('sad', 15), ('work', 6), ('depressed', 5), ('everyday', 5), ('depression', 4), ('close', 4), ('cancel', 3), ('feel', 3), ('yall', 3), ('house', 3), ('respiratory', 3), ('bad', 3), ('gonna', 3), ('patient', 3), ('care', 3), ('stuck', 2), ('cry', 2), ('live', 2), ('test', 2), ('long', 2)]"
