Category,Rate,Hotwords
anger,54.19603967111926,"[('الكويت', 13747), ('الصحة', 7929), ('حالة', 6458), ('وزارة', 5313), ('ءلى', 5197), ('عاجل', 4898), ('مصر', 4434), ('الصين', 4430), ('انتشار', 4373), ('ءصابة', 3790)]"
disgust,10.578642131426328,"[('الكويت', 4310), ('الصين', 1951), ('تحارب', 1516), ('مصر', 1442), ('ايران', 1133), ('حظر', 1133), ('الكورونا', 969), ('الصحة', 963), ('انتشار', 913), ('لبنان', 879)]"
fear,5.533510661492173,"[('انتشار', 804), ('الصحة', 684), ('وباء', 613), ('الخوف', 597), ('الكويت', 570), ('حالة', 557), ('خايف', 539), ('الفيروس', 535), ('الوقاية', 502), ('ءلى', 494)]"
sadness,15.804008779197373,"[('حالة', 4113), ('ءلى', 3605), ('ءصابة', 3460), ('اللهم', 3111), ('الكويت', 2736), ('جديدة', 2189), ('الصحة', 2120), ('وفاة', 1671), ('عاجل', 1650), ('تسجيل', 1583)]"
pessimism,2.968550899480128,"[('ءلى', 376), ('الكويت', 328), ('الصين', 325), ('مصر', 253), ('تءجيل', 205), ('حالة', 194), ('ترامب', 194), ('ءوروبا', 193), ('لبنان', 177), ('ءزمة', 174)]"
anticipation,0.028101183641235095,"[('تءجيل', 17), ('مباريات', 7), ('دوري', 7), ('ءفريقيا', 7), ('رسميا', 6), ('تصفيات', 6), ('ءمم', 6), ('ءرجاء', 6), ('ءلى', 6), ('ءبطال', 5)]"
trust,0.0,[]
optimism,3.588230449085985,"[('اللهم', 5583), ('عنا', 1841), ('يارب', 1338), ('البلاء', 1175), ('الوباء', 883), ('الكويت', 870), ('خير', 746), ('ربي', 702), ('المسلمين', 699), ('ءلا', 697)]"
confident,2.1822022606917733,"[('اللهم', 1949), ('يارب', 798), ('عنا', 715), ('البلاء', 588), ('ربي', 574), ('استودعتك', 535), ('اني', 518), ('بلادي', 504), ('ونساءها', 488), ('وءهلها', 487)]"
empathetic,5.120713963865754,"[('اللهم', 923), ('الكويت', 681), ('الصحة', 435), ('شكرا', 431), ('يارب', 423), ('الجمعة', 348), ('خير', 296), ('الخير', 282), ('الوقاية', 265), ('ربي', 251)]"
surprise,0.0,[]
