Category,Rate,Hotwords
anger,0.6666666666666666,"[('وزارة', 1), ('التخطيط', 1), ('والتنمية', 1), ('الاقتصادية', 1), ('تصدر', 1), ('تقريرا', 1), ('ءهم', 1), ('المبادرات', 1), ('ءطلقتها', 1), ('مصر', 1), ('اندلاع', 1), ('ءزمة', 1), ('يسلم', 1), ('راسك', 1), ('شفيك', 1), ('ضارب', 1), ('ثقل', 1), ('مابك', 1)]"
disgust,0.0,[]
fear,0.3333333333333333,"[('ارتفاع', 1), ('نسبة', 1), ('الهرمون', 1), ('يزيد', 1), ('فرص', 1), ('وفاة', 1), ('مرضى', 1)]"
sadness,0.3333333333333333,"[('ارتفاع', 1), ('نسبة', 1), ('الهرمون', 1), ('يزيد', 1), ('فرص', 1), ('وفاة', 1), ('مرضى', 1)]"
pessimism,0.6666666666666666,"[('ارتفاع', 1), ('نسبة', 1), ('الهرمون', 1), ('يزيد', 1), ('فرص', 1), ('وفاة', 1), ('مرضى', 1), ('وزارة', 1), ('التخطيط', 1), ('والتنمية', 1), ('الاقتصادية', 1), ('تصدر', 1), ('تقريرا', 1), ('ءهم', 1), ('المبادرات', 1), ('ءطلقتها', 1), ('مصر', 1), ('اندلاع', 1), ('ءزمة', 1)]"
anticipation,0.0,[]
trust,0.3333333333333333,"[('يسلم', 1), ('راسك', 1), ('شفيك', 1), ('ضارب', 1), ('ثقل', 1), ('مابك', 1)]"
optimism,0.0,[]
confident,0.0,[]
empathetic,0.0,[]
surprise,0.0,[]
