MonthYear,JobLosersAndWhoCompletedTempJobs,OnTemporaryLayoff,NotOnTemporaryLayoff,PermanentJobLosers,PersonsWhoCompletedTempJobs,JobLeavers,Reentrants,NewEntrants
Mar-19,"2,826",866,"1,959","1,376",583,780,"2,002",605
Apr-19,"2,660",722,"1,938","1,314",625,728,"1,899",535
May-19,"2,674",865,"1,810","1,300",510,809,"1,850",602
Jun-19,"2,744",805,"1,939","1,355",585,889,"1,850",537
Jul-19,"2,796",828,"1,968","1,360",609,832,"1,794",597
Aug-19,"2,864",812,"2,052","1,388",664,784,"1,785",577
Sep-19,"2,575",729,"1,846","1,318",528,840,"1,669",673
Oct-19,"2,691",772,"1,919","1,260",659,846,"1,698",622
Nov-19,"2,804",768,"2,036","1,422",614,776,"1,663",581
Dec-19,"2,686",807,"1,880","1,295",585,829,"1,655",551
Jan-20,"2,665",742,"1,923","1,289",634,836,"1,838",557
Feb-20,"2,723",801,"1,922","1,279",644,777,"1,803",505
Mar-20,"3,946","1,848","2,099","1,456",643,727,"1,778",509
